# JLPT N4 單字   格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯

# --- 名詞：生活・社會 ---
用事 | ようじ | 事情、要事 | 名詞 | 今日は用事があります。 | きょうはようじがあります。 | 今天有事。
消える | きえる | 消失、熄滅 | 動詞 | 電気が急に消えました。 | でんきがきゅうにきえました。 | 燈突然熄了。
つく | つく | 開（燈）、附著 | 動詞 | 部屋の電気がついています。 | へやのでんきがついています。 | 房間的燈開著。
消す | けす | 關掉、擦掉 | 動詞 | 出かける前に電気を消してください。 | でかけるまえにでんきをけしてください。 | 出門前請關燈。
つける | つける | 打開、塗抹 | 動詞 | 寒いのでエアコンをつけました。 | さむいのでエアコンをつけました。 | 因為冷所以開了冷氣。
鳴る | なる | 響 | 動詞 | 電話が鳴っていますよ。 | でんわがなっていますよ。 | 電話在響喔。
光る | ひかる | 發光 | 動詞 | 遠くで何かが光りました。 | とおくでなにかがひかりました。 | 遠處有東西閃了一下。
乾く | かわく | 乾 | 動詞 | 洗濯物がまだ乾いていません。 | せんたくものがまだかわいていません。 | 洗的衣服還沒乾。
濡れる | ぬれる | 淋濕 | 動詞 | 雨で服が濡れました。 | あめでふくがぬれました。 | 衣服被雨淋濕了。
冷える | ひえる | 變冷、冰鎮 | 動詞 | ビールがよく冷えています。 | ビールがよくひえています。 | 啤酒冰得很透。
沸く | わく | 沸騰 | 動詞 | お湯が沸きました。 | おゆがわきました。 | 水開了。
沸かす | わかす | 燒開 | 動詞 | お茶のためにお湯を沸かします。 | おちゃのためにおゆをわかします。 | 為了泡茶把水燒開。
茹でる | ゆでる | 水煮 | 動詞 | 卵を五分茹でます。 | たまごをごふんゆでます。 | 蛋煮五分鐘。
焼ける | やける | 烤好、燒毀 | 動詞 | パンがいい匂いで焼けました。 | パンがいいにおいでやけました。 | 麵包烤得很香。
包む | つつむ | 包起來 | 動詞 | プレゼントをきれいに包みました。 | プレゼントをきれいにつつみました。 | 把禮物包得很漂亮。
畳む | たたむ | 折疊 | 動詞 | 洗濯物を畳んでください。 | せんたくものをたたんでください。 | 請把衣服折好。
片付く | かたづく | 收拾好 | 動詞 | やっと部屋が片付きました。 | やっとへやがかたづきました。 | 房間終於整理好了。
汚す | よごす | 弄髒 | 動詞 | ソースでシャツを汚しました。 | ソースでシャツをよごしました。 | 醬汁弄髒了襯衫。
拭く | ふく | 擦 | 動詞 | テーブルを布巾で拭きます。 | テーブルをふきんでふきます。 | 用抹布擦桌子。
磨く | みがく | 刷、擦亮 | 動詞 | 靴を磨いて出かけます。 | くつをみがいてでかけます。 | 把鞋擦亮才出門。
植える | うえる | 種植 | 動詞 | 庭に木を植えました。 | にわにきをうえました。 | 在院子裡種了樹。
枯れる | かれる | 枯萎 | 動詞 | 水をやらなかったので花が枯れました。 | みずをやらなかったのではながかれました。 | 沒澆水所以花枯了。
咲く | さく | 開花 | 動詞 | 桜が咲き始めました。 | さくらがさきはじめました。 | 櫻花開始開了。
太る | ふとる | 變胖 | 動詞 | 最近少し太りました。 | さいきんすこしふとりました。 | 最近胖了一點。
痩せる | やせる | 變瘦 | 動詞 | 運動して三キロ痩せました。 | うんどうしてさんキロやせました。 | 運動後瘦了三公斤。
疲れる | つかれる | 疲累 | 動詞 | 今日はとても疲れました。 | きょうはとてもつかれました。 | 今天非常累。
眠る | ねむる | 睡、入睡 | 動詞 | 昨夜はよく眠れませんでした。 | さくやはよくねむれませんでした。 | 昨晚沒睡好。
起こす | おこす | 叫醒、扶起 | 動詞 | 明日七時に起こしてください。 | あしたしちじにおこしてください。 | 明天七點叫我起床。
驚く | おどろく | 吃驚 | 動詞 | ニュースを聞いて驚きました。 | ニュースをきいておどろきました。 | 聽到新聞很吃驚。
笑う | わらう | 笑 | 動詞 | みんなで大笑いしました。 | みんなでおおわらいしました。 | 大家哈哈大笑。
泣く | なく | 哭 | 動詞 | 子供が大きな声で泣いています。 | こどもがおおきなこえでないています。 | 小孩大聲哭著。
怒る | おこる | 生氣 | 動詞 | 遅刻して先生に怒られました。 | ちこくしてせんせいにおこられました。 | 遲到被老師罵了。
喜ぶ | よろこぶ | 高興 | 動詞 | 合格を聞いて家族が喜びました。 | ごうかくをきいてかぞくがよろこびました。 | 聽到考上家人很高興。
慌てる | あわてる | 慌張 | 動詞 | 時間がなくて慌てて家を出ました。 | じかんがなくてあわてていえをでました。 | 沒時間了，慌慌張張出門。
びっくりする | びっくりする | 嚇一跳 | 動詞 | 大きな音にびっくりしました。 | おおきなおとにびっくりしました。 | 被巨大的聲音嚇到。
安心する | あんしんする | 放心 | 動詞 | 無事だと聞いて安心しました。 | ぶじだときいてあんしんしました。 | 聽說平安無事就放心了。
心配する | しんぱいする | 擔心 | 動詞 | 家族のことを心配しています。 | かぞくのことをしんぱいしています。 | 擔心家人。
準備が要る | じゅんびがいる | 需要準備 | 動詞 | 面接には準備が要ります。 | めんせつにはじゅんびがいります。 | 面試需要準備。
役に立つ | やくにたつ | 有用、有幫助 | 動詞 | この辞書はとても役に立ちます。 | このじしょはとてもやくにたちます。 | 這本字典很有用。
気をつける | きをつける | 小心、注意 | 動詞 | 車に気をつけてください。 | くるまにきをつけてください。 | 請小心車輛。
用意ができる | よういができる | 準備好 | 動詞 | 食事の用意ができました。 | しょくじのよういができました。 | 飯菜準備好了。
引っ越す | ひっこす | 搬家 | 動詞 | 来月、新しい家に引っ越します。 | らいげつ、あたらしいいえにひっこします。 | 下個月要搬新家。
戻る | もどる | 返回 | 動詞 | 忘れ物を取りに家に戻りました。 | わすれものをとりにいえにもどりました。 | 回家拿忘記的東西。
通う | かよう | 往返、通勤 | 動詞 | 電車で会社に通っています。 | でんしゃでかいしゃにかよっています。 | 搭電車通勤上班。
過ごす | すごす | 度過 | 動詞 | 連休は家でゆっくり過ごしました。 | れんきゅうはいえでゆっくりすごしました。 | 連假在家悠閒度過。
向かう | むかう | 前往、面向 | 動詞 | これから空港へ向かいます。 | これからくうこうへむかいます。 | 現在要前往機場。
戻す | もどす | 放回、退回 | 動詞 | 使った本は棚に戻してください。 | つかったほんはたなにもどしてください。 | 用完的書請放回架上。
渡る | わたる | 渡過、穿越 | 動詞 | 信号を見て道を渡ります。 | しんごうをみてみちをわたります。 | 看紅綠燈過馬路。
渡す | わたす | 交給 | 動詞 | この書類を部長に渡してください。 | このしょるいをぶちょうにわたしてください。 | 請把這份文件交給部長。
曲がる | まがる | 轉彎 | 動詞 | 次の角を右に曲がってください。 | つぎのかどをみぎにまがってください。 | 下個轉角請右轉。
下がる | さがる | 下降 | 動詞 | 熱が少し下がりました。 | ねつがすこしさがりました。 | 燒退了一點。
上がる | あがる | 上升、進屋 | 動詞 | どうぞ上がってください。 | どうぞあがってください。 | 請進來坐。
下げる | さげる | 降低、撤下 | 動詞 | 音を少し下げてください。 | おとをすこしさげてください。 | 請把聲音調小一點。
上げる | あげる | 提高、給 | 動詞 | 手を上げて発言します。 | てをあげてはつげんします。 | 舉手發言。

# --- 形容詞・形容動詞 ---
うまい | うまい | 好吃的、拿手的 | 形容詞（い形） | 彼は絵がうまいです。 | かれはえがうまいです。 | 他畫畫很拿手。
すごい | すごい | 厲害的、驚人的 | 形容詞（い形） | すごい人気の店です。 | すごいにんきのみせです。 | 是超人氣的店。
ひどい | ひどい | 過分的、嚴重的 | 形容詞（い形） | ひどい風邪をひきました。 | ひどいかぜをひきました。 | 得了重感冒。
苦しい | くるしい | 痛苦的、難受的 | 形容詞（い形） | 走った後、息が苦しいです。 | はしったあと、いきがくるしいです。 | 跑完後呼吸很難受。
かゆい | かゆい | 癢的 | 形容詞（い形） | 蚊に刺されて腕がかゆいです。 | かにさされてうでがかゆいです。 | 被蚊子咬，手臂很癢。
眠たい | ねむたい | 想睡的 | 形容詞（い形） | 会議中に眠たくなりました。 | かいぎちゅうにねむたくなりました。 | 開會時想睡了。
明るい | あかるい | 明亮的、開朗的 | 形容詞（い形） | 彼女はいつも明るいです。 | かのじょはいつもあかるいです。 | 她總是很開朗。
暗い | くらい | 昏暗的、陰沉的 | 形容詞（い形） | 部屋が暗いので電気をつけます。 | へやがくらいのででんきをつけます。 | 房間很暗所以開燈。
薄い | うすい | 薄的、淡的 | 形容詞（い形） | この本は薄くて軽いです。 | このほんはうすくてかるいです。 | 這本書又薄又輕。
濃い | こい | 濃的、深的 | 形容詞（い形） | このコーヒーは濃いです。 | このコーヒーはこいです。 | 這杯咖啡很濃。
正しい | ただしい | 正確的 | 形容詞（い形） | 正しい答えを選んでください。 | ただしいこたえをえらんでください。 | 請選出正確答案。
おかしい | おかしい | 奇怪的、好笑的 | 形容詞（い形） | 機械の音がおかしいです。 | きかいのおとがおかしいです。 | 機器的聲音怪怪的。
ちょうどいい | ちょうどいい | 剛剛好 | 形容詞（い形） | このサイズがちょうどいいです。 | このサイズがちょうどいいです。 | 這個尺寸剛剛好。
細い | ほそい | 細的 | 形容詞（い形） | 細い道を通って近道します。 | ほそいみちをとおってちかみちします。 | 走小路抄近路。
太い | ふとい | 粗的 | 形容詞（い形） | 太いペンで名前を書きます。 | ふといペンでなまえをかきます。 | 用粗筆寫名字。
丈夫 | じょうぶ | 結實、健壯 | 形容動詞（な形） | この靴は丈夫で長持ちします。 | このくつはじょうぶでながもちします。 | 這雙鞋很耐穿。
邪魔 | じゃま | 妨礙、打擾 | 形容動詞（な形） | 邪魔にならないように隅に立ちます。 | じゃまにならないようにすみにたちます。 | 為了不擋路站在角落。
盛ん | さかん | 盛行、興盛 | 形容動詞（な形） | この学校はスポーツが盛んです。 | このがっこうはスポーツがさかんです。 | 這所學校運動風氣很盛。
楽 | らく | 輕鬆、舒適 | 形容動詞（な形） | 新しい椅子は座り心地が楽です。 | あたらしいいすはすわりごこちがらくです。 | 新椅子坐起來很舒服。
変 | へん | 奇怪 | 形容動詞（な形） | 変な匂いがします。 | へんなにおいがします。 | 有奇怪的味道。
むだ | むだ | 浪費、白費 | 形容動詞（な形） | 時間をむだにしたくないです。 | じかんをむだにしたくないです。 | 不想浪費時間。
だめ | だめ | 不行、沒用 | 形容動詞（な形） | ここで写真を撮ってはだめです。 | ここでしゃしんをとってはだめです。 | 這裡不可以拍照。

# --- 副詞・接續・其他 ---
なるべく | なるべく | 盡量 | 副詞 | なるべく早く返事をします。 | なるべくはやくへんじをします。 | 我會盡快回覆。
やっと | やっと | 終於、好不容易 | 副詞 | やっと仕事が終わりました。 | やっとしごとがおわりました。 | 工作終於做完了。
ついに | ついに | 終於、最終 | 副詞 | ついに新しい店がオープンしました。 | ついにあたらしいみせがオープンしました。 | 新店終於開幕了。
まるで | まるで | 簡直、宛如 | 副詞 | まるで夢のような一日でした。 | まるでゆめのようないちにちでした。 | 是宛如做夢般的一天。
ほとんど | ほとんど | 幾乎 | 副詞 | 宿題はほとんど終わりました。 | しゅくだいはほとんどおわりました。 | 作業幾乎做完了。
だいたい | だいたい | 大致、大約 | 副詞 | 話はだいたい分かりました。 | はなしはだいたいわかりました。 | 話大致聽懂了。
はっきり | はっきり | 清楚地 | 副詞 | もっとはっきり話してください。 | もっとはっきりはなしてください。 | 請說得更清楚一點。
そのうち | そのうち | 過些時候、不久 | 副詞 | そのうち慣れると思います。 | そのうちなれるとおもいます。 | 我想過陣子就會習慣。
それなら | それなら | 那樣的話 | 接續詞 | 忙しい？それなら手伝うよ。 | いそがしい？それならてつだうよ。 | 你很忙？那我來幫忙。
つまり | つまり | 也就是說 | 接續詞 | 明日は祝日、つまり休みです。 | あしたはしゅくじつ、つまりやすみです。 | 明天是國定假日，也就是放假。
または | または | 或者 | 接續詞 | ペンまたは鉛筆で書いてください。 | ペンまたはえんぴつでかいてください。 | 請用筆或鉛筆書寫。
それとも | それとも | 還是（二選一） | 接續詞 | コーヒーにしますか、それとも紅茶にしますか。 | コーヒーにしますか、それともこうちゃにしますか。 | 要咖啡還是紅茶？


# ===== N4 高頻補充（依舊制 3 級出題基準與高頻詞表）=====

# --- 語言・學習 ---
文法 | ぶんぽう | 文法 | 名詞 | この文法はまだ習っていません。 | このぶんぽうはまだならっていません。 | 這個文法還沒學過。
単語 | たんご | 單字 | 名詞 | 単語を五十個覚えました。 | たんごをごじゅっこおぼえました。 | 記了五十個單字。
小説 | しょうせつ | 小說 | 名詞 | この小説はとても面白いです。 | このしょうせつはとてもおもしろいです。 | 這本小說非常有趣。
漫画 | まんが | 漫畫 | 名詞 | 電車の中で漫画を読みます。 | でんしゃのなかでまんがをよみます。 | 在電車上看漫畫。
辞典 | じてん | 辭典 | 名詞 | 分からない言葉を辞典で調べます。 | わからないことばをじてんでしらべます。 | 用辭典查不懂的字。
教育 | きょういく | 教育 | 名詞 | 子供の教育について考えます。 | こどものきょういくについてかんがえます。 | 思考孩子的教育。
研究 | けんきゅう | 研究 | 名詞 | 大学で日本の歴史を研究しています。 | だいがくでにほんのれきしをけんきゅうしています。 | 在大學研究日本歷史。
予習 | よしゅう | 預習 | 名詞 | 授業の前に予習します。 | じゅぎょうのまえによしゅうします。 | 上課前預習。
復習 | ふくしゅう | 複習 | 名詞 | 家に帰ってから復習します。 | いえにかえってからふくしゅうします。 | 回家後複習。
質問する | しつもんする | 提問 | 動詞 | 先生に質問しました。 | せんせいにしつもんしました。 | 向老師提問了。
訳 | わけ | 原因；道理 | 名詞 | 遅れた訳を説明します。 | おくれたわけをせつめいします。 | 說明遲到的原因。

# --- 社會・仕事 ---
産業 | さんぎょう | 產業 | 名詞 | この町は産業が盛んです。 | このまちはさんぎょうがさかんです。 | 這個城鎮產業興盛。
輸出 | ゆしゅつ | 出口 | 名詞 | 日本は車を多く輸出します。 | にほんはくるまをおおくゆしゅつします。 | 日本大量出口汽車。
輸入 | ゆにゅう | 進口 | 名詞 | 果物を外国から輸入します。 | くだものをがいこくからゆにゅうします。 | 從國外進口水果。
事件 | じけん | 事件 | 名詞 | ニュースで大きい事件を知りました。 | ニュースでおおきいじけんをしりました。 | 從新聞得知重大事件。
国民 | こくみん | 國民 | 名詞 | 国民の意見を聞きます。 | こくみんのいけんをききます。 | 聽取國民的意見。
表 | ひょう | 表格 | 名詞 | 予定を表にまとめます。 | よていをひょうにまとめます。 | 把行程整理成表格。

# --- 人・呼稱 ---
客 | きゃく | 客人 | 名詞 | 店に客が大勢来ました。 | みせにきゃくがおおぜいきました。 | 店裡來了很多客人。
主婦 | しゅふ | 家庭主婦 | 名詞 | 主婦の一日は忙しいです。 | しゅふのいちにちはいそがしいです。 | 主婦的一天很忙。
生徒 | せいと | 學生（中小學） | 名詞 | この学校には生徒が千人います。 | このがっこうにはせいとがせんにんいます。 | 這所學校有一千名學生。
選手 | せんしゅ | 選手 | 名詞 | 兄はサッカーの選手です。 | あにはサッカーのせんしゅです。 | 哥哥是足球選手。
相手 | あいて | 對方 | 名詞 | 相手の気持ちも考えましょう。 | あいてのきもちもかんがえましょう。 | 也想想對方的心情吧。
他人 | たにん | 別人 | 名詞 | 他人のことより自分のことを考えます。 | たにんのことよりじぶんのことをかんがえます。 | 比起別人先想自己的事。
大勢 | おおぜい | 許多人 | 名詞 | 公園に人が大勢います。 | こうえんにひとがおおぜいいます。 | 公園裡有很多人。
全員 | ぜんいん | 全體人員 | 名詞 | クラスの全員が来ました。 | クラスのぜんいんがきました。 | 全班都來了。

# --- 身體・健康・医療 ---
体重 | たいじゅう | 體重 | 名詞 | 毎朝、体重を量ります。 | まいあさ、たいじゅうをはかります。 | 每天早上量體重。
骨 | ほね | 骨頭 | 名詞 | 転んで足の骨を折りました。 | ころんであしのほねをおりました。 | 跌倒把腳骨折了。
汗 | あせ | 汗 | 名詞 | 走って汗をかきました。 | はしってあせをかきました。 | 跑步流了汗。
涙 | なみだ | 眼淚 | 名詞 | 悲しくて涙が出ました。 | かなしくてなみだがでました。 | 難過得流淚。
息 | いき | 呼吸 | 名詞 | 階段を上って息が切れました。 | かいだんをのぼっていきがきれました。 | 爬樓梯爬得喘不過氣。
胃 | い | 胃 | 名詞 | 食べ過ぎて胃が痛いです。 | たべすぎていがいたいです。 | 吃太多胃痛。
検査 | けんさ | 檢查 | 名詞 | 病院で検査を受けます。 | びょういんでけんさをうけます。 | 在醫院接受檢查。
注射 | ちゅうしゃ | 打針 | 名詞 | 子供は注射が嫌いです。 | こどもはちゅうしゃがきらいです。 | 小孩討厭打針。
入院 | にゅういん | 住院 | 名詞 | 祖父が一週間入院しました。 | そふがいっしゅうかんにゅういんしました。 | 祖父住院了一週。
退院 | たいいん | 出院 | 名詞 | 来週、退院できます。 | らいしゅう、たいいんできます。 | 下週可以出院。
治療 | ちりょう | 治療 | 名詞 | 歯の治療に通っています。 | はのちりょうにかよっています。 | 定期去治療牙齒。
歯医者 | はいしゃ | 牙醫 | 名詞 | 明日、歯医者へ行きます。 | あした、はいしゃへいきます。 | 明天去看牙醫。
症状 | しょうじょう | 症狀 | 名詞 | どんな症状がありますか。 | どんなしょうじょうがありますか。 | 有什麼症狀？

# --- 街・場所 ---
通り | とおり | 馬路；大街 | 名詞 | この通りは店が多いです。 | このとおりはみせがおおいです。 | 這條街店很多。
坂 | さか | 坡道 | 名詞 | 坂を上ると学校です。 | さかをのぼるとがっこうです。 | 上坡就是學校。
方向 | ほうこう | 方向 | 名詞 | 反対の方向へ歩いてしまいました。 | はんたいのほうこうへあるいてしまいました。 | 往反方向走了。
裏 | うら | 背面；後面 | 名詞 | 紙の裏に名前を書きます。 | かみのうらになまえをかきます。 | 在紙的背面寫名字。
奥 | おく | 深處；裡面 | 名詞 | 店の奥に席があります。 | みせのおくにせきがあります。 | 店的裡面有座位。
向こう | むこう | 對面；那邊 | 名詞 | 橋の向こうに駅が見えます。 | はしのむこうにえきがみえます。 | 橋的對面看得到車站。
港 | みなと | 港口 | 名詞 | 船が港に着きました。 | ふねがみなとにつきました。 | 船到港了。
飛行場 | ひこうじょう | 機場 | 名詞 | 飛行場まで車で送ります。 | ひこうじょうまでくるまでおくります。 | 開車送到機場。
田舎 | いなか | 鄉下 | 名詞 | 夏休みは田舎の祖母の家に行きます。 | なつやすみはいなかのそぼのいえにいきます。 | 暑假去鄉下祖母家。
都会 | とかい | 都市 | 名詞 | 都会の生活は便利ですが、忙しいです。 | とかいのせいかつはべんりですが、いそがしいです。 | 都市生活方便但忙碌。

# --- 家・生活 ---
家賃 | やちん | 房租 | 名詞 | 毎月、家賃を払います。 | まいつき、やちんをはらいます。 | 每個月付房租。
電球 | でんきゅう | 燈泡 | 名詞 | 電球が切れたので取り替えます。 | でんきゅうがきれたのでとりかえます。 | 燈泡壞了所以換新的。
毛布 | もうふ | 毛毯 | 名詞 | 寒いので毛布をもう一枚出します。 | さむいのでもうふをもういちまいだします。 | 很冷所以再拿一條毛毯。
枕 | まくら | 枕頭 | 名詞 | この枕は柔らかくて気持ちいいです。 | このまくらはやわらかくてきもちいいです。 | 這個枕頭又軟又舒服。
鍋 | なべ | 鍋子 | 名詞 | 鍋でスープを作ります。 | なべでスープをつくります。 | 用鍋子煮湯。
やかん | やかん | 水壺 | 名詞 | やかんでお湯を沸かします。 | やかんでおゆをわかします。 | 用水壺燒開水。
包丁 | ほうちょう | 菜刀 | 名詞 | 包丁で野菜を切ります。 | ほうちょうでやさいをきります。 | 用菜刀切菜。
食器 | しょっき | 餐具 | 名詞 | 食事の後、食器を洗います。 | しょくじのあと、しょっきをあらいます。 | 飯後洗餐具。
ごみ袋 | ごみぶくろ | 垃圾袋 | 名詞 | ごみ袋がいっぱいになりました。 | ごみぶくろがいっぱいになりました。 | 垃圾袋滿了。
掃除機 | そうじき | 吸塵器 | 名詞 | 掃除機で部屋を掃除します。 | そうじきでへやをそうじします。 | 用吸塵器打掃房間。

# --- 抽象・気持ち ---
気持ち | きもち | 心情；感覺 | 名詞 | 山の上は気持ちがいいです。 | やまのうえはきもちがいいです。 | 山上感覺很舒服。
自信 | じしん | 自信 | 名詞 | 発音には自信があります。 | はつおんにはじしんがあります。 | 我對發音有自信。
希望 | きぼう | 希望 | 名詞 | 希望の仕事が見つかりました。 | きぼうのしごとがみつかりました。 | 找到了理想的工作。
我慢 | がまん | 忍耐 | 名詞 | 痛くても我慢しました。 | いたくてもがまんしました。 | 就算痛也忍住了。

# --- する動詞 ---
変更する | へんこうする | 變更 | 動詞 | 会議の時間を変更しました。 | かいぎのじかんをへんこうしました。 | 更改了會議時間。
返却する | へんきゃくする | 歸還 | 動詞 | 図書館に本を返却します。 | としょかんにほんをへんきゃくします。 | 把書還給圖書館。
出席する | しゅっせきする | 出席 | 動詞 | 明日の会議に出席します。 | あしたのかいぎにしゅっせきします。 | 出席明天的會議。
欠席する | けっせきする | 缺席 | 動詞 | 病気で授業を欠席しました。 | びょうきでじゅぎょうをけっせきしました。 | 因病缺課。
遅刻する | ちこくする | 遲到 | 動詞 | 電車が遅れて遅刻しました。 | でんしゃがおくれてちこくしました。 | 電車誤點所以遲到了。
卒業する | そつぎょうする | 畢業 | 動詞 | 来年、大学を卒業します。 | らいねん、だいがくをそつぎょうします。 | 明年大學畢業。
入学する | にゅうがくする | 入學 | 動詞 | 妹は今年、中学に入学しました。 | いもうとはことし、ちゅうがくににゅうがくしました。 | 妹妹今年上國中了。
就職する | しゅうしょくする | 就業 | 動詞 | 銀行に就職しました。 | ぎんこうにしゅうしょくしました。 | 進了銀行工作。
出張する | しゅっちょうする | 出差 | 動詞 | 来週、大阪に出張します。 | らいしゅう、おおさかにしゅっちょうします。 | 下週去大阪出差。
帰国する | きこくする | 回國 | 動詞 | 夏休みに一度帰国します。 | なつやすみにいちどきこくします。 | 暑假回國一次。
合格する | ごうかくする | 合格；考上 | 動詞 | 試験に合格しました。 | しけんにごうかくしました。 | 考試通過了。
完成する | かんせいする | 完成 | 動詞 | 新しいビルが完成しました。 | あたらしいビルがかんせいしました。 | 新大樓落成了。
発達する | はったつする | 發達 | 動詞 | 台風が発達しています。 | たいふうがはったつしています。 | 颱風正在增強。
成長する | せいちょうする | 成長 | 動詞 | 子供は早く成長します。 | こどもははやくせいちょうします。 | 孩子長得很快。
不足する | ふそくする | 不足 | 動詞 | 睡眠が不足しています。 | すいみんがふそくしています。 | 睡眠不足。
出勤する | しゅっきんする | 上班 | 動詞 | 毎朝八時に出勤します。 | まいあさはちじにしゅっきんします。 | 每天早上八點上班。
帰宅する | きたくする | 回家 | 動詞 | 昨日は遅く帰宅しました。 | きのうはおそくきたくしました。 | 昨天很晚才回家。
外出する | がいしゅつする | 外出 | 動詞 | 雨なので外出しません。 | あめなのでがいしゅつしません。 | 因為下雨不外出。
指導する | しどうする | 指導 | 動詞 | 先生が丁寧に指導してくれました。 | せんせいがていねいにしどうしてくれました。 | 老師仔細地指導了我。
経営する | けいえいする | 經營 | 動詞 | 父は小さい店を経営しています。 | ちちはちいさいみせをけいえいしています。 | 父親經營一家小店。
紹介する | しょうかいする | 介紹 | 動詞 | 友達を家族に紹介しました。 | ともだちをかぞくにしょうかいしました。 | 把朋友介紹給家人。
招待する | しょうたいする | 邀請 | 動詞 | パーティーに友達を招待します。 | パーティーにともだちをしょうたいします。 | 邀請朋友來派對。
翻訳する | ほんやくする | 翻譯 | 動詞 | この本を中国語に翻訳します。 | このほんをちゅうごくごにほんやくします。 | 把這本書翻成中文。

# --- 動詞（和語） ---
増やす | ふやす | 增加（他動） | 動詞 | 貯金を少しずつ増やします。 | ちょきんをすこしずつふやします。 | 一點一點增加存款。
減らす | へらす | 減少（他動） | 動詞 | 甘いものを減らします。 | あまいものをへらします。 | 減少甜食。
伸びる | のびる | 伸長；成長 | 動詞 | 髪がだいぶ伸びました。 | かみがだいぶのびました。 | 頭髮長長不少。
回る | まわる | 轉；繞 | 動詞 | 地球は太陽の周りを回っています。 | ちきゅうはたいようのまわりをまわっています。 | 地球繞著太陽轉。
転ぶ | ころぶ | 跌倒 | 動詞 | 道で転んで手をけがしました。 | みちでころんでてをけがしました。 | 在路上跌倒手受傷了。
滑る | すべる | 滑倒；打滑 | 動詞 | 雪の日は道が滑ります。 | ゆきのひはみちがすべります。 | 下雪天路很滑。
踏む | ふむ | 踩 | 動詞 | 電車で足を踏まれました。 | でんしゃであしをふまれました。 | 在電車上被踩到腳。
引っ張る | ひっぱる | 拉 | 動詞 | ドアを引っ張って開けます。 | ドアをひっぱってあけます。 | 拉開門。
積む | つむ | 堆積；裝載 | 動詞 | トラックに荷物を積みます。 | トラックににもつをつみます。 | 把貨物裝上卡車。
載せる | のせる | 放上；刊登 | 動詞 | 棚に箱を載せます。 | たなにはこをのせます。 | 把箱子放到架子上。
下ろす | おろす | 卸下；領（錢） | 動詞 | 銀行でお金を下ろします。 | ぎんこうでおかねをおろします。 | 在銀行領錢。
預ける | あずける | 寄放 | 動詞 | ホテルに荷物を預けます。 | ホテルににもつをあずけます。 | 把行李寄放在飯店。
預かる | あずかる | 保管；代收 | 動詞 | 隣の家の荷物を預かりました。 | となりのいえのにもつをあずかりました。 | 幫鄰居代收了包裹。
貯める | ためる | 存（錢） | 動詞 | 旅行のためにお金を貯めています。 | りょこうのためにおかねをためています。 | 為了旅行在存錢。
計算する | けいさんする | 計算 | 動詞 | 全部でいくらか計算します。 | ぜんぶでいくらかけいさんします。 | 計算一共多少錢。
記録する | きろくする | 記錄 | 動詞 | 毎日の食事を記録しています。 | まいにちのしょくじをきろくしています。 | 記錄每天的飲食。
発音する | はつおんする | 發音 | 動詞 | この単語を発音してみてください。 | このたんごをはつおんしてみてください。 | 請試著唸這個單字。
返信する | へんしんする | 回信 | 動詞 | メールにすぐ返信します。 | メールにすぐへんしんします。 | 馬上回覆郵件。
訪問する | ほうもんする | 訪問 | 動詞 | 来週、お客さんの会社を訪問します。 | らいしゅう、おきゃくさんのかいしゃをほうもんします。 | 下週拜訪客戶的公司。
了解する | りょうかいする | 了解；知道了 | 動詞 | 内容を了解しました。 | ないようをりょうかいしました。 | 我明白內容了。

# --- い形容詞・な形容詞 ---
おとなしい | おとなしい | 溫順的；文靜的 | 形容詞（い形） | 弟はおとなしい性格です。 | おとうとはおとなしいせいかくです。 | 弟弟個性文靜。
かっこいい | かっこいい | 帥氣的 | 形容詞（い形） | あの俳優はかっこいいです。 | あのはいゆうはかっこいいです。 | 那個演員很帥。
うらやましい | うらやましい | 羨慕的 | 形容詞（い形） | 旅行に行けてうらやましいです。 | りょこうにいけてうらやましいです。 | 你能去旅行真羨慕。
重要 | じゅうよう | 重要的 | 形容動詞（な形） | ここは重要な部分です。 | ここはじゅうようなぶぶんです。 | 這裡是重要的部分。
主 | おも | 主要的 | 形容動詞（な形） | 主な原因は天気です。 | おもなげんいんはてんきです。 | 主要原因是天氣。
下品 | げひん | 粗俗的 | 形容動詞（な形） | 下品な言葉は使わないでください。 | げひんなことばはつかわないでください。 | 請不要用粗俗的字眼。

# --- 副詞・接續 ---
もしかしたら | もしかしたら | 說不定 | 副詞 | もしかしたら雨が降るかもしれません。 | もしかしたらあめがふるかもしれません。 | 說不定會下雨。
確かに | たしかに | 的確 | 副詞 | 確かにその通りです。 | たしかにそのとおりです。 | 的確如此。
やっぱり | やっぱり | 果然；還是 | 副詞 | やっぱり家が一番落ち着きます。 | やっぱりいえがいちばんおちつきます。 | 還是家裡最放鬆。


# ===== N4 高頻補充 第二批 =====

# --- 動詞（和語）---
受ける | うける | 接受；應（考） | 動詞 | 来月、試験を受けます。 | らいげつ、しけんをうけます。 | 下個月要考試。
受け取る | うけとる | 收下；領取 | 動詞 | 郵便局で荷物を受け取りました。 | ゆうびんきょくでにもつをうけとりました。 | 在郵局領了包裹。
勝つ | かつ | 贏 | 動詞 | 昨日の試合に勝ちました。 | きのうのしあいにかちました。 | 昨天的比賽贏了。
負ける | まける | 輸 | 動詞 | 最後に負けてしまいました。 | さいごにまけてしまいました。 | 最後輸掉了。
