# JLPT N5 單字   格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯
# 以 # 開頭或空白行會被忽略。編輯後執行： python scripts/build_data.py

# --- 人稱・指示 ---
私 | わたし | 我 | 代名詞 | 私は台湾人です。 | わたしはたいわんじんです。 | 我是台灣人。
閉める | しめる | 關閉 | 動詞 | ドアを閉めてください。 | ドアをしめてください。 | 請關門。
着る | きる | 穿（上衣） | 動詞 | コートを着ます。 | コートをきます。 | 穿大衣。
脱ぐ | ぬぐ | 脫 | 動詞 | 靴を脱いでください。 | くつをぬいでください。 | 請脫鞋。
洗う | あらう | 洗 | 動詞 | 手を洗います。 | てをあらいます。 | 洗手。
掃除する | そうじする | 打掃 | 動詞 | 部屋を掃除します。 | へやをそうじします。 | 打掃房間。
洗濯する | せんたくする | 洗衣服 | 動詞 | 週末に洗濯します。 | しゅうまつにせんたくします。 | 週末洗衣服。
料理する | りょうりする | 做菜 | 動詞 | 今晩は私が料理します。 | こんばんはわたしがりょうりします。 | 今晚我來做菜。
撮る | とる | 拍照 | 動詞 | 写真を撮ります。 | しゃしんをとります。 | 拍照。
遊ぶ | あそぶ | 玩 | 動詞 | 子供が公園で遊んでいます。 | こどもがこうえんであそんでいます。 | 小孩在公園玩。
歌う | うたう | 唱歌 | 動詞 | カラオケで歌います。 | カラオケでうたいます。 | 在卡拉OK唱歌。
死ぬ | しぬ | 死、死亡 | 動詞 | 祖父は去年死にました。 | そふはきょねんしにました。 | 我祖父去年過世了。

# --- 副詞・其他 ---
とても | とても | 非常 | 副詞 | とても面白かったです。 | とてもおもしろかったです。 | 非常有趣。
少し | すこし | 一點點 | 副詞 | 少し疲れました。 | すこしつかれました。 | 有點累。
たくさん | たくさん | 很多 | 副詞 | 本をたくさん読みます。 | ほんをたくさんよみます。 | 讀很多書。
よく | よく | 經常、好好地 | 副詞 | よく映画を見ます。 | よくえいがをみます。 | 常看電影。
時々 | ときどき | 有時候 | 副詞 | 時々日本語で話します。 | ときどきにほんごではなします。 | 有時用日語聊天。
いつも | いつも | 總是 | 副詞 | いつも七時に起きます。 | いつもしちじにおきます。 | 總是七點起床。
もう | もう | 已經 | 副詞 | もう食べました。 | もうたべました。 | 已經吃過了。
まだ | まだ | 還（沒） | 副詞 | まだ終わっていません。 | まだおわっていません。 | 還沒結束。
すぐに | すぐに | 馬上 | 副詞 | すぐに行きます。 | すぐにいきます。 | 馬上去。
ゆっくり | ゆっくり | 慢慢地 | 副詞 | ゆっくり話してください。 | ゆっくりはなしてください。 | 請慢慢說。
一緒に | いっしょに | 一起 | 副詞 | 一緒に帰りましょう。 | いっしょにかえりましょう。 | 一起回家吧。
まっすぐ | まっすぐ | 直直地 | 副詞 | まっすぐ行ってください。 | まっすぐいってください。 | 請直走。
本当に | ほんとうに | 真的 | 副詞 | 本当にありがとうございます。 | ほんとうにありがとうございます。 | 真的很謝謝你。
一番 | いちばん | 最 | 副詞 | 夏が一番好きです。 | なつがいちばんすきです。 | 最喜歡夏天。
だんだん | だんだん | 漸漸地 | 副詞 | だんだん寒くなりました。 | だんだんさむくなりました。 | 漸漸變冷了。
また | また | 又、再 | 副詞 | また明日会いましょう。 | またあしたあいましょう。 | 明天再見。
それから | それから | 然後 | 接續詞 | 買い物をして、それから帰りました。 | かいものをして、それからかえりました。 | 買了東西然後回家。
でも | でも | 但是 | 接續詞 | 高いです。でも、おいしいです。 | たかいです。でも、おいしいです。 | 很貴，但是很好吃。
だから | だから | 所以 | 接續詞 | 雨です。だから、行きません。 | あめです。だから、いきません。 | 下雨，所以不去。
