# JLPT N2 單字（起始題庫，之後可增補）
# 格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯

課題 | かだい | 課題、待解決的問題 | 名詞 | 環境問題は大きな課題です。 | かんきょうもんだいはおおきなかだいです。 | 環境問題是重大課題。
人口減少 | じんこうげんしょう | 人口減少 | 名詞 | 人口減少が地域経済に影響します。 | じんこうげんしょうがちいきけいざいにえいきょうします。 | 人口減少影響地方經濟。
高齢化 | こうれいか | 高齡化 | 名詞 | 高齢化が急速に進んでいます。 | こうれいかがきゅうそくにすすんでいます。 | 高齡化正在急速發展。
少子化 | しょうしか | 少子化 | 名詞 | 少子化対策が議論されています。 | しょうしかたいさくがぎろんされています。 | 正在討論少子化對策。
福祉 | ふくし | 福利 | 名詞 | 高齢者福祉の充実が求められます。 | こうれいしゃふくしのじゅうじつがもとめられます。 | 需要充實高齡者福利。
医療 | いりょう | 醫療 | 名詞 | 地方の医療体制を整えます。 | ちほうのいりょうたいせいをととのえます。 | 完善地方的醫療體制。
制度改革 | せいどかいかく | 制度改革 | 名詞 | 大規模な制度改革が必要です。 | だいきぼなせいどかいかくがひつようです。 | 需要大規模的制度改革。

# --- 動詞 ---
心がける | こころがける | 留心、努力做到 | 動詞 | 早寝早起きを心がけています。 | はやねはやおきをこころがけています。 | 我努力做到早睡早起。
取り組む | とりくむ | 致力於、投入 | 動詞 | 環境問題に真剣に取り組みます。 | かんきょうもんだいにしんけんにとりくみます。 | 認真投入環境問題。
取り入れる | とりいれる | 採納、引進 | 動詞 | 新しい方法を授業に取り入れます。 | あたらしいほうほうをじゅぎょうにとりいれます。 | 把新方法引進課堂。
取り扱う | とりあつかう | 處理、經手 | 動詞 | この店は輸入品を取り扱っています。 | このみせはゆにゅうひんをとりあつかっています。 | 這家店經營進口商品。
受け入れる | うけいれる | 接受、接納 | 動詞 | その条件を受け入れることにしました。 | そのじょうけんをうけいれることにしました。 | 決定接受那個條件。
引き受ける | ひきうける | 承接、答應 | 動詞 | 面倒な仕事を引き受けました。 | めんどうなしごとをひきうけました。 | 接下了麻煩的工作。
引き起こす | ひきおこす | 引起、導致 | 動詞 | 小さなミスが大事故を引き起こしました。 | ちいさなミスがだいじこをひきおこしました。 | 小疏失導致了大事故。
持ち込む | もちこむ | 帶入 | 動詞 | 会場に飲食物を持ち込まないでください。 | かいじょうにいんしょくぶつをもちこまないでください。 | 請勿攜帶飲食進入會場。
申し込む | もうしこむ | 申請、報名 | 動詞 | オンラインで講座に申し込みました。 | オンラインでこうざにもうしこみました。 | 線上報名了講座。
問い合わせる | といあわせる | 詢問 | 動詞 | 詳細は窓口に問い合わせてください。 | しょうさいはまどぐちにといあわせてください。 | 詳情請洽詢櫃檯。
打ち合わせる | うちあわせる | 事前商量 | 動詞 | 進め方を事前に打ち合わせます。 | すすめかたをじぜんにうちあわせます。 | 事先商量進行方式。
見直す | みなおす | 重新檢視、改觀 | 動詞 | 予算を一から見直します。 | よさんをいちからみなおします。 | 從頭重新檢視預算。
見送る | みおくる | 目送、暫緩 | 動詞 | 今回の導入は見送ることにしました。 | こんかいのどうにゅうはみおくることにしました。 | 決定暫緩這次的導入。
見込む | みこむ | 預估、期待 | 動詞 | 来場者は千人を見込んでいます。 | らいじょうしゃはせんにんをみこんでいます。 | 預估來場者一千人。
思い込む | おもいこむ | 深信、認定 | 動詞 | 彼は自分が正しいと思い込んでいます。 | かれはじぶんがただしいとおもいこんでいます。 | 他認定自己是對的。
落ち込む | おちこむ | 情緒低落 | 動詞 | 失敗して少し落ち込んでいます。 | しっぱいしてすこしおちこんでいます。 | 失敗了有點沮喪。
落ち着く | おちつく | 冷靜、安頓 | 動詞 | 引っ越しの片付けがやっと落ち着きました。 | ひっこしのかたづけがやっとおちつきました。 | 搬家的整理終於告一段落。
思いやる | おもいやる | 體諒、體貼 | 動詞 | 相手の気持ちを思いやります。 | あいてのきもちをおもいやります。 | 體諒對方的心情。
振る舞う | ふるまう | 舉止、行動 | 動詞 | 彼はいつも堂々と振る舞います。 | かれはいつもどうどうとふるまいます。 | 他總是舉止大方。
逆らう | さからう | 違抗、逆向 | 動詞 | 流れに逆らって泳ぐのは大変です。 | ながれにさからっておよぐのはたいへんです。 | 逆流游泳很吃力。
恵まれる | めぐまれる | 得天獨厚、有幸 | 動詞 | いい仲間に恵まれました。 | いいなかまにめぐまれました。 | 很幸運有好夥伴。
似合う | にあう | 相配、適合 | 動詞 | その色はあなたによく似合います。 | そのいろはあなたによくにあいます。 | 那個顏色很適合你。
釣り合う | つりあう | 相稱、平衡 | 動詞 | 収入と支出が釣り合っていません。 | しゅうにゅうとししゅつがつりあっていません。 | 收支不平衡。
向いている | むいている | 適合、朝向 | 動詞 | 彼は営業に向いています。 | かれはえいぎょうにむいています。 | 他適合做業務。
役立てる | やくだてる | 使有用、活用 | 動詞 | 学んだ知識を仕事に役立てます。 | まなんだちしきをしごとにやくだてます。 | 把學到的知識用在工作上。
生かす | いかす | 活用、發揮 | 動詞 | 語学力を生かして働きたいです。 | ごがくりょくをいかしてはたらきたいです。 | 想活用語言能力工作。
努める | つとめる | 努力、致力 | 動詞 | サービスの向上に努めます。 | サービスのこうじょうにつとめます。 | 致力於提升服務。
備える | そなえる | 準備、防備 | 動詞 | 地震に備えて水を用意します。 | じしんにそなえてみずをよういします。 | 為地震做準備而備水。
支給する | しきゅうする | 發給、供給 | 動詞 | 交通費は全額支給されます。 | こうつうひはぜんがくしきゅうされます。 | 交通費全額補助。
配布する | はいふする | 分發 | 動詞 | 資料は入り口で配布します。 | しりょうはいりぐちではいふします。 | 資料在入口處分發。
掲示する | けいじする | 公告、張貼 | 動詞 | 結果は掲示板に掲示します。 | けっかはけいじばんにけいじします。 | 結果會張貼在公佈欄。
記載する | きさいする | 記載、載明 | 動詞 | 注意事項は裏面に記載しています。 | ちゅういじこうはうらめんにきさいしています。 | 注意事項載於背面。
一致する | いっちする | 一致 | 動詞 | 証言と事実が一致しました。 | しょうげんとじじつがいっちしました。 | 證詞與事實相符。
矛盾する | むじゅんする | 矛盾 | 動詞 | 二つの説明は矛盾しています。 | ふたつのせつめいはむじゅんしています。 | 兩種說法互相矛盾。
共存する | きょうぞんする | 共存 | 動詞 | 自然と人間が共存する町です。 | しぜんとにんげんがきょうぞんするまちです。 | 是人與自然共存的城鎮。

# --- 形容詞・形容動詞 ---
めんどうくさい | めんどうくさい | 嫌麻煩的 | 形容詞（い形） | 手続きがめんどうくさいです。 | てつづきがめんどうくさいです。 | 手續很麻煩。
思いがけない | おもいがけない | 意想不到的 | 形容詞（い形） | 思いがけないプレゼントに驚きました。 | おもいがけないプレゼントにおどろきました。 | 對意想不到的禮物很驚訝。
恐ろしい | おそろしい | 可怕的 | 形容詞（い形） | 恐ろしい事件が報道されました。 | おそろしいじけんがほうどうされました。 | 報導了可怕的事件。
たまらない | たまらない | 受不了、難以忍受 | 形容詞（い形） | 暑くてたまらないです。 | あつくてたまらないです。 | 熱得受不了。
みっともない | みっともない | 丟人的 | 形容詞（い形） | 人前で泣くのはみっともないと思っていました。 | ひとまえでなくのはみっともないとおもっていました。 | 曾覺得在人前哭很丟臉。
主体的 | しゅたいてき | 自主的 | 形容動詞（な形） | 学生が主体的に活動します。 | がくせいがしゅたいてきにかつどうします。 | 學生自主地活動。
効果的 | こうかてき | 有效的 | 形容動詞（な形） | 効果的な学習方法を探します。 | こうかてきながくしゅうほうほうをさがします。 | 尋找有效的學習方法。
画期的 | かっきてき | 劃時代的 | 形容動詞（な形） | 画期的な技術が発表されました。 | かっきてきなぎじゅつがはっぴょうされました。 | 發表了劃時代的技術。
貴重 | きちょう | 珍貴 | 形容動詞（な形） | 貴重なご意見をありがとうございます。 | きちょうなごいけんをありがとうございます。 | 謝謝您寶貴的意見。
急速 | きゅうそく | 迅速 | 形容動詞（な形） | 技術が急速に進歩しました。 | ぎじゅつがきゅうそくにしんぽしました。 | 技術迅速進步。
莫大 | ばくだい | 巨大、龐大 | 形容動詞（な形） | 建設には莫大な費用がかかります。 | けんせつにはばくだいなひようがかかります。 | 建設要花費龐大的費用。
円満 | えんまん | 圓滿 | 形容動詞（な形） | 話し合いは円満に終わりました。 | はなしあいはえんまんにおわりました。 | 協商圓滿結束。

# --- 副詞・連接 ---
及び | および | 及、以及 | 接續詞 | 氏名及び住所を記入してください。 | しめいおよびじゅうしょをきにゅうしてください。 | 請填寫姓名及地址。
並びに | ならびに | 以及、和 | 接續詞 | 保護者並びに関係者にお知らせします。 | ほごしゃならびにかんけいしゃにおしらせします。 | 通知家長以及相關人士。
したがって | したがって | 因此 | 接續詞 | 需要が減った。したがって生産も減らす。 | じゅようがへった。したがってせいさんもへらす。 | 需求減少，因此也減產。
一方 | いっぽう | 另一方面 | 接續詞 | 収入は増えた。一方、支出も増えた。 | しゅうにゅうはふえた。いっぽう、ししゅつもふえた。 | 收入增加，另一方面支出也增加。
ただし | ただし | 但是（附加條件） | 接續詞 | 参加は自由です。ただし、事前登録が必要です。 | さんかはじゆうです。ただし、じぜんとうろくがひつようです。 | 自由參加，但需事先報名。
なお | なお | 此外、另外 | 接續詞 | なお、詳細は後日連絡します。 | なお、しょうさいはごじつれんらくします。 | 另外，詳情日後聯絡。
あるいは | あるいは | 或者 | 接續詞 | メールあるいは電話でご連絡ください。 | メールあるいはでんわでごれんらくください。 | 請以電子郵件或電話聯絡。
やがて | やがて | 不久、終將 | 副詞 | やがて春が来ます。 | やがてはるがきます。 | 春天終將到來。
次々に | つぎつぎに | 接連不斷地 | 副詞 | 問題が次々に起こりました。 | もんだいがつぎつぎにおこりました。 | 問題接連發生。
それぞれ | それぞれ | 各自 | 副詞 | 学生はそれぞれ違う意見を持っています。 | がくせいはそれぞれちがういけんをもっています。 | 學生各有不同意見。
互いに | たがいに | 互相 | 副詞 | 互いに助け合うことが大切です。 | たがいにたすけあうことがたいせつです。 | 互相幫助很重要。
主に | おもに | 主要 | 副詞 | この番組は主に子供向けです。 | このばんぐみはおもにこどもむけです。 | 這個節目主要是給小孩看的。
