# JLPT N1 單字（起始題庫，之後可增補）
# 格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯

意図 | いと | 意圖 | 名詞 | 発言の意図が分かりません。 | はつげんのいとがわかりません。 | 不明白發言的意圖。
茂る | しげる | 茂盛 | 動詞 | 夏になると木々が青々と茂ります。 | なつになるときぎがあおあおとしげります。 | 一到夏天樹木鬱鬱蔥蔥。
食い込む | くいこむ | 深入、擠入 | 動詞 | 上位三位に食い込みました。 | じょういさんいにくいこみました。 | 擠進了前三名。
及び腰になる | およびごしになる | 畏縮、退縮 | 動詞 | 責任を問われて及び腰になりました。 | せきにんをとわれておよびごしになりました。 | 被追究責任就退縮了。
歯止めをかける | はどめをかける | 踩剎車、遏止 | 動詞 | 少子化に歯止めをかけたいです。 | しょうしかにはどめをかけたいです。 | 想遏止少子化。
拍車をかける | はくしゃをかける | 加速、助長 | 動詞 | 円安が物価高に拍車をかけました。 | えんやすがぶっかだかにはくしゃをかけました。 | 日圓貶值加劇了物價上漲。
軌道に乗る | きどうにのる | 上軌道 | 動詞 | 事業がようやく軌道に乗りました。 | じぎょうがようやくきどうにのりました。 | 事業終於上了軌道。

# --- 形容詞・形容動詞 ---
著しい | いちじるしい | 顯著的 | 形容詞（い形） | 品質に著しい改善が見られます。 | ひんしつにいちじるしいかいぜんがみられます。 | 品質有顯著的改善。
めまぐるしい | めまぐるしい | 瞬息萬變的 | 形容詞（い形） | 変化のめまぐるしい時代です。 | へんかのめまぐるしいじだいです。 | 是變化瞬息萬變的時代。
はかない | はかない | 短暫的、虛幻的 | 形容詞（い形） | 桜のはかない美しさに惹かれます。 | さくらのはかないうつくしさにひかれます。 | 為櫻花短暫的美所吸引。
心強い | こころづよい | 有依靠的、放心的 | 形容詞（い形） | 経験者がいると心強いです。 | けいけんしゃがいるとこころづよいです。 | 有經驗的人在就令人安心。
待ち遠しい | まちどおしい | 期盼已久的 | 形容詞（い形） | 夏休みが待ち遠しいです。 | なつやすみがまちどおしいです。 | 好期待暑假。
一律 | いちりつ | 一律 | 形容動詞（な形） | 料金は一律千円です。 | りょうきんはいちりつせんえんです。 | 費用一律一千日圓。
不当 | ふとう | 不當、不合理 | 形容動詞（な形） | 不当な扱いに抗議します。 | ふとうなあつかいにこうぎします。 | 對不當的對待提出抗議。
正当 | せいとう | 正當 | 形容動詞（な形） | 正当な理由があれば認められます。 | せいとうなりゆうがあればみとめられます。 | 有正當理由就會被認可。
不可避 | ふかひ | 無法避免 | 形容動詞（な形） | 値上げは不可避の状況です。 | ねあげはふかひのじょうきょうです。 | 漲價是無法避免的狀況。
一方的 | いっぽうてき | 單方面的 | 形容動詞（な形） | 一方的な主張では説得できません。 | いっぽうてきなしゅちょうではせっとくできません。 | 單方面的主張無法說服人。
対等 | たいとう | 對等 | 形容動詞（な形） | 対等な立場で話し合います。 | たいとうなたちばではなしあいます。 | 以對等的立場協商。
密接 | みっせつ | 密切 | 形容動詞（な形） | 経済と環境は密接に関係しています。 | けいざいとかんきょうはみっせつにかんけいしています。 | 經濟與環境密切相關。
希薄 | きはく | 稀薄、淡薄 | 形容動詞（な形） | 若者の政治への関心が希薄です。 | わかもののせいじへのかんしんがきはくです。 | 年輕人對政治的關心淡薄。
過剰 | かじょう | 過剩、過度 | 形容動詞（な形） | 過剰なサービスはかえって負担です。 | かじょうなサービスはかえってふたんです。 | 過度的服務反而是負擔。
潤沢 | じゅんたく | 充裕 | 形容動詞（な形） | 資金は潤沢とは言えません。 | しきんはじゅんたくとはいえません。 | 資金稱不上充裕。

# --- 副詞・連接 ---
もはや | もはや | 已經、為時 | 副詞 | もはや後戻りはできません。 | もはやあともどりはできません。 | 已經無法回頭了。
いまだに | いまだに | 至今仍 | 副詞 | 原因はいまだに不明です。 | げんいんはいまだにふめいです。 | 原因至今不明。
ひとえに | ひとえに | 完全、全靠 | 副詞 | 成功はひとえに皆様のおかげです。 | せいこうはひとえにみなさまのおかげです。 | 成功全靠各位。
ともすると | ともすると | 動不動就、往往 | 副詞 | ともすると細部にこだわりすぎます。 | ともするとさいぶにこだわりすぎます。 | 往往過於拘泥細節。
なんだかんだ | なんだかんだ | 說這說那、種種 | 副詞 | なんだかんだで一日が終わりました。 | なんだかんだでいちにちがおわりました。 | 忙這忙那一天就結束了。
うすうす | うすうす | 隱約、多少 | 副詞 | 結果はうすうす気づいていました。 | けっかはうすうすきづいていました。 | 對結果多少有所察覺。
いやが応でも | いやがおうでも | 不管願不願意 | 副詞 | 締め切りが近づき、いやが応でも集中します。 | しめきりがちかづき、いやがおうでもしゅうちゅうします。 | 截止日逼近，不由得專注起來。
どうにか | どうにか | 好歹、設法 | 副詞 | どうにか間に合いました。 | どうにかまにあいました。 | 好歹趕上了。
かろうじて | かろうじて | 勉強、好不容易 | 副詞 | かろうじて終電に乗れました。 | かろうじてしゅうでんにのれました。 | 勉強趕上了末班車。
まちまち | まちまち | 各不相同 | 形容動詞（な形） | 意見はまちまちでした。 | いけんはまちまちでした。 | 意見各不相同。
おおむね | おおむね | 大致 | 副詞 | 計画はおおむね順調です。 | けいかくはおおむねじゅんちょうです。 | 計畫大致順利。
かねて | かねて | 事先、老早 | 副詞 | かねて申し上げた通りです。 | かねてもうしあげたとおりです。 | 正如先前所說。
これといって | これといって | （後接否定）特別 | 副詞 | これといった問題はありません。 | これといったもんだいはありません。 | 沒什麼特別的問題。

# === 增補批次 3 ===
# --- 名詞 ---
所以 | ゆえん | 緣由、原因 | 名詞 | 彼が信頼される所以がよく分かります。 | かれがしんらいされるゆえんがよくわかります。 | 很能理解他被信賴的緣由。
真髄 | しんずい | 精髓 | 名詞 | 職人技の真髄に触れました。 | しょくにんわざのしんずいにふれました。 | 領略了匠人技藝的精髓。
極み | きわみ | 極致 | 名詞 | それは贅沢の極みです。 | それはぜいたくのきわみです。 | 那是奢華的極致。
賜物 | たまもの | 成果、賜予 | 名詞 | 優勝は努力の賜物です。 | ゆうしょうはどりょくのたまものです。 | 奪冠是努力的成果。
偉業 | いぎょう | 偉業 | 名詞 | 前人未到の偉業を成し遂げました。 | ぜんじんみとうのいぎょうをなしとげました。 | 完成了前人未至的偉業。
功績 | こうせき | 功績 | 名詞 | 長年の功績が認められました。 | ながねんのこうせきがみとめられました。 | 長年的功績受到肯定。
名誉 | めいよ | 名譽 | 名詞 | それは我が校の名誉です。 | それはわがこうのめいよです。 | 那是本校的榮譽。
恥 | はじ | 恥辱 | 名詞 | 失敗を恥だとは思いません。 | しっぱいをはじだとはおもいません。 | 我不認為失敗是恥辱。
自負 | じふ | 自負、自豪 | 名詞 | 誰にも負けないという自負があります。 | だれにもまけないというじふがあります。 | 我自豪絕不輸給任何人。
覚悟 | かくご | 覺悟、決心 | 名詞 | 批判される覚悟はできています。 | ひはんされるかくごはできています。 | 已有被批評的心理準備。
決意 | けつい | 決意 | 名詞 | 独立する決意を固めました。 | どくりつするけついをかためました。 | 下定了獨立的決心。
執念 | しゅうねん | 執念 | 名詞 | 完成への執念が実を結びました。 | かんせいへのしゅうねんがみをむすびました。 | 對完成的執著開花結果。
未練 | みれん | 留戀、不捨 | 名詞 | 過去に未練はありません。 | かこにみれんはありません。 | 對過去沒有留戀。
名残 | なごり | 殘餘、依依不捨 | 名詞 | 町には古い城下町の名残があります。 | まちにはふるいじょうかまちのなごりがあります。 | 城裡留有舊城下町的痕跡。
面影 | おもかげ | 面貌、影子 | 名詞 | 彼には父親の面影があります。 | かれにはちちおやのおもかげがあります。 | 他有父親的影子。

# --- 動詞 ---
成し遂げる | なしとげる | 完成、達成 | 動詞 | 困難な任務を成し遂げました。 | こんなんなにんむをなしとげました。 | 完成了艱難的任務。
やり遂げる | やりとげる | 做到底 | 動詞 | 最後までやり遂げる決意です。 | さいごまでやりとげるけついです。 | 決心堅持到最後。
成り立つ | なりたつ | 成立、構成 | 動詞 | この理論はいくつかの前提で成り立っています。 | このりろんはいくつかのぜんていでなりたっています。 | 這個理論建立在幾個前提上。
突き止める | つきとめる | 查明、找出 | 動詞 | 原因をついに突き止めました。 | げんいんをついにつきとめました。 | 終於查明了原因。
見落とす | みおとす | 看漏 | 動詞 | 重要な点を見落としていました。 | じゅうようなてんをみおとしていました。 | 漏看了重要的一點。
取りこぼす | とりこぼす | 失分、遺漏 | 動詞 | 簡単な問題を取りこぼしました。 | かんたんなもんだいをとりこぼしました。 | 簡單的題目失了分。
裏付ける | うらづける | 佐證、印證 | 動詞 | データが仮説を裏付けています。 | データがかせつをうらづけています。 | 數據佐證了假設。
仕切る | しきる | 主持、隔開 | 動詞 | 会議は彼が仕切りました。 | かいぎはかれがしきりました。 | 會議由他主持。
束ねる | たばねる | 捆、統率 | 動詞 | 大きなチームを束ねています。 | おおきなチームをたばねています。 | 統率著一支大團隊。
率いる | ひきいる | 率領 | 動詞 | 代表チームを率いて出場します。 | だいひょうチームをひきいてしゅつじょうします。 | 率領代表隊出賽。
仰ぐ | あおぐ | 仰望、請求 | 動詞 | 上司の指示を仰ぎます。 | じょうしのしじをあおぎます。 | 請示上司的指示。
授かる | さずかる | 獲賜、得到 | 動詞 | 貴重な機会を授かりました。 | きちょうなきかいをさずかりました。 | 得到了寶貴的機會。
報いる | むくいる | 報答、回報 | 動詞 | 期待に報いる働きをします。 | きたいにむくいるはたらきをします。 | 做出不負期待的表現。

# --- 形容詞・形容動詞・連體 ---
名だたる | なだたる | 著名的 | 連體詞 | 名だたる企業が集まる展示会です。 | なだたるきぎょうがあつまるてんじかいです。 | 是知名企業齊聚的展覽會。
いわゆる | いわゆる | 所謂的 | 連體詞 | それがいわゆる「働き方改革」です。 | それがいわゆる「はたらきかたかいかく」です。 | 那就是所謂的「工作方式改革」。
たゆまぬ | たゆまぬ | 不懈的 | 連體詞 | たゆまぬ努力が結果につながりました。 | たゆまぬどりょくがけっかにつながりました。 | 不懈的努力帶來了成果。
華々しい | はなばなしい | 輝煌的、盛大的 | 形容詞（い形） | 華々しい活躍が期待されます。 | はなばなしいかつやくがきたいされます。 | 令人期待亮眼的表現。
そぐわない | そぐわない | 不合、不相稱 | 形容詞（い形） | 場にそぐわない服装でした。 | ばにそぐわないふくそうでした。 | 是與場合不相稱的穿著。
おぼつかない | おぼつかない | 靠不住的、不穩的 | 形容詞（い形） | 先行きはおぼつかないです。 | さきゆきはおぼつかないです。 | 前景不明朗。
入念 | にゅうねん | 仔細、周到 | 形容動詞（な形） | 入念な下調べをしました。 | にゅうねんなしたしらべをしました。 | 做了周詳的事前調查。
不審 | ふしん | 可疑 | 形容動詞（な形） | 不審な人物を見かけました。 | ふしんなじんぶつをみかけました。 | 看到可疑人物。
巧妙 | こうみょう | 巧妙 | 形容動詞（な形） | 巧妙な手口にだまされました。 | こうみょうなてぐちにだまされました。 | 被巧妙的手法騙了。
壮大 | そうだい | 宏大、壯闊 | 形容動詞（な形） | 壮大な計画に胸が躍ります。 | そうだいなけいかくにむねがおどります。 | 為宏大的計畫感到興奮。
なめらか | なめらか | 流暢、光滑 | 形容動詞（な形） | 彼の日本語はなめらかです。 | かれのにほんごはなめらかです。 | 他的日語很流暢。

# --- 副詞 ---
往々にして | おうおうにして | 往往 | 副詞 | 焦ると往々にして失敗します。 | あせるとおうおうにしてしっぱいします。 | 一急往往就會失敗。
軒並み | のきなみ | 全都、一律 | 副詞 | 各社の株価が軒並み下がりました。 | かくしゃのかぶかがのきなみさがりました。 | 各家公司股價全面下跌。
えてして | えてして | 往往、容易 | 副詞 | 期待が大きいとえてして失望も大きい。 | きたいがおおきいとえてしてしつぼうもおおきい。 | 期待越大往往失望也越大。
やたらに | やたらに | 胡亂、非常 | 副詞 | やたらに口を出さないでください。 | やたらにくちをださないでください。 | 請不要隨便插嘴。
くまなく | くまなく | 到處、徹底 | 副詞 | 部屋をくまなく探しました。 | へやをくまなくさがしました。 | 把房間找了個遍。


# ===== N1 單字補充 第一批：和語動詞・形容詞・副詞 =====

# --- 和語動詞 ---
欺く | あざむく | 欺瞞 | 動詞 | 人を欺く行為は許されません。 | ひとをあざむくこういはゆるされません。 | 欺瞞他人的行為不被允許。
危ぶむ | あやぶむ | 擔憂、認為危險 | 動詞 | 計画の実現が危ぶまれます。 | けいかくのじつげんがあやぶまれます。 | 計畫能否實現令人擔憂。
操る | あやつる | 操縱 | 動詞 | 三か国語を自在に操ります。 | さんかこくごをじざいにあやつります。 | 能自如駕馭三種語言。
戒める | いましめる | 告誡 | 動詞 | 自らの慢心を戒めます。 | みずからのまんしんをいましめます。 | 告誡自己不可自滿。
潤う | うるおう | 滋潤、受惠 | 動詞 | 観光で地域経済が潤いました。 | かんこうでちいきけいざいがうるおいました。 | 觀光讓地方經濟受惠。
損ねる | そこねる | 損害、傷害 | 動詞 | 機嫌を損ねてしまいました。 | きげんをそこねてしまいました。 | 惹對方不高興了。
唆す | そそのかす | 唆使 | 動詞 | 友人に唆されて始めました。 | ゆうじんにそそのかされてはじめました。 | 被朋友慫恿而開始的。
携える | たずさえる | 攜帶、攜手 | 動詞 | 資料を携えて訪問しました。 | しりょうをたずさえてほうもんしました。 | 帶著資料去拜訪。
漂う | ただよう | 飄盪、瀰漫 | 動詞 | 会場に緊張感が漂っています。 | かいじょうにきんちょうかんがただよっています。 | 會場瀰漫著緊張感。
尊ぶ | とうとぶ | 尊重、崇尚 | 動詞 | 伝統を尊ぶ文化があります。 | でんとうをとうとぶぶんかがあります。 | 有崇尚傳統的文化。
賑わう | にぎわう | 熱鬧 | 動詞 | 観光客で賑わっています。 | かんこうきゃくでにぎわっています。 | 因觀光客而熱鬧。
阻害する | そがいする | 阻礙 | 動詞 | 成長を阻害する要因を除きます。 | せいちょうをそがいするよういんをのぞきます。 | 排除阻礙成長的因素。
称する | しょうする | 稱為、自稱 | 動詞 | 専門家と称する人物が現れました。 | せんもんかとしょうするじんぶつがあらわれました。 | 出現了自稱專家的人物。
呈する | ていする | 呈現 | 動詞 | 会場は異様な雰囲気を呈しました。 | かいじょうはいようなふんいきをていしました。 | 會場呈現異樣的氣氛。
免じる | めんじる | 免除、看在～份上 | 動詞 | 今回に免じて許します。 | こんかいにめんじてゆるします。 | 這次就原諒你。
弁える | わきまえる | 明辨、知分寸 | 動詞 | 立場を弁えて発言します。 | たちばをわきまえてはつげんします。 | 認清立場再發言。
凌ぐ | しのぐ | 忍受、超越 | 動詞 | 前年を凌ぐ売上を記録しました。 | ぜんねんをしのぐうりあげをきろくしました。 | 創下超越去年的業績。
拒む | こばむ | 拒絕 | 動詞 | 立ち入りを拒まれました。 | たちいりをこばまれました。 | 被拒絕進入。
悟る | さとる | 領悟、察覺 | 動詞 | 自分の誤りを悟りました。 | じぶんのあやまりをさとりました。 | 領悟到自己的錯誤。
裁く | さばく | 裁決、審判 | 動詞 | 法によって裁かれます。 | ほうによってさばかれます。 | 依法接受審判。
強いて | しいて | 勉強地、硬要說 | 副詞 | 強いて言えば色が気になります。 | しいていえばいろがきになります。 | 硬要說的話是顏色有點在意。
仕向ける | しむける | 促使、誘導 | 動詞 | 自発的に動くよう仕向けます。 | じはつてきにうごくようしむけます。 | 引導他們自發行動。
背く | そむく | 違背 | 動詞 | 期待に背く結果になりました。 | きたいにそむくけっかになりました。 | 結果辜負了期待。
司る | つかさどる | 掌管 | 動詞 | 記憶を司る脳の部位です。 | きおくをつかさどるのうのぶいです。 | 是掌管記憶的腦部區域。
償却する | しょうきゃくする | 攤提、折舊 | 動詞 | 設備費を五年で償却します。 | せつびひをごねんでしょうきゃくします。 | 設備費用五年攤提。
繕う | つくろう | 修補、掩飾 | 動詞 | その場を繕う言い訳をしました。 | そのばをつくろういいわけをしました。 | 說了掩飾當下的藉口。
唱導する | しょうどうする | 倡導 | 動詞 | 環境保護を唱導しています。 | かんきょうほごをしょうどうしています。 | 正在倡導環境保護。
養う | やしなう | 養育、培養 | 動詞 | 判断力を養うことが大切です。 | はんだんりょくをやしなうことがたいせつです。 | 培養判斷力很重要。
和らぐ | やわらぐ | 緩和 | 動詞 | 痛みが少し和らぎました。 | いたみがすこしやわらぎました。 | 疼痛稍微緩和了。
歪める | ゆがめる | 扭曲 | 動詞 | 事実を歪めて伝えました。 | じじつをゆがめてつたえました。 | 扭曲事實地傳達了。
委託する | いたくする | 委託 | 動詞 | 調査を外部に委託しました。 | ちょうさをがいぶにいたくしました。 | 把調查委託給外部。
帰属する | きぞくする | 歸屬 | 動詞 | 権利は会社に帰属します。 | けんりはかいしゃにきぞくします。 | 權利歸屬於公司。
逸脱する | いつだつする | 脫離、偏離 | 動詞 | 議題から逸脱しています。 | ぎだいからいつだつしています。 | 偏離了議題。
抵触する | ていしょくする | 抵觸 | 動詞 | 法律に抵触する恐れがあります。 | ほうりつにていしょくするおそれがあります。 | 恐有觸法之虞。
踏襲する | とうしゅうする | 沿襲 | 動詞 | 前例を踏襲します。 | ぜんれいをとうしゅうします。 | 沿襲前例。
網羅する | もうらする | 網羅 | 動詞 | 主要な論点を網羅しています。 | しゅようなろんてんをもうらしています。 | 網羅了主要的論點。
逼迫する | ひっぱくする | 吃緊 | 動詞 | 医療体制が逼迫しています。 | いりょうたいせいがひっぱくしています。 | 醫療體系吃緊。

# --- い形容詞 ---
慌ただしい | あわただしい | 匆忙的 | 形容詞（い形） | 慌ただしく一年が過ぎました。 | あわただしくいちねんがすぎました。 | 匆匆忙忙過了一年。
煩わしい | わずらわしい | 麻煩的、厭煩的 | 形容詞（い形） | 手続きが煩わしいです。 | てつづきがわずらわしいです。 | 手續很麻煩。
慎ましい | つつましい | 謙遜的、樸素的 | 形容詞（い形） | 慎ましい生活を送っています。 | つつましいせいかつをおくっています。 | 過著樸素的生活。
たくましい | たくましい | 健壯的、堅韌的 | 形容詞（い形） | 逆境でたくましく育ちました。 | ぎゃっきょうでたくましくそだちました。 | 在逆境中堅韌地成長。
目覚ましい | めざましい | 顯著的 | 形容詞（い形） | 目覚ましい進歩を遂げました。 | めざましいしんぽをとげました。 | 取得了顯著的進步。
輝かしい | かがやかしい | 輝煌的 | 形容詞（い形） | 輝かしい成績を残しました。 | かがやかしいせいせきをのこしました。 | 留下了輝煌的成績。
苦々しい | にがにがしい | 令人不快的 | 形容詞（い形） | 苦々しい表情を浮かべました。 | にがにがしいひょうじょうをうかべました。 | 露出不悅的表情。
情け深い | なさけぶかい | 富同情心的 | 形容詞（い形） | 情け深い人に助けられました。 | なさけぶかいひとにたすけられました。 | 被有同情心的人幫助了。
奥深い | おくぶかい | 深奧的 | 形容詞（い形） | 日本文化は奥深いです。 | にほんぶんかはおくぶかいです。 | 日本文化很深奧。

# --- な形容詞 ---
斬新 | ざんしん | 嶄新的、新穎的 | 形容動詞（な形） | 斬新なデザインが話題です。 | ざんしんなデザインがわだいです。 | 新穎的設計成為話題。
精密 | せいみつ | 精密的 | 形容動詞（な形） | 精密な検査を行います。 | せいみつなけんさをおこないます。 | 進行精密的檢查。
寛大 | かんだい | 寬大的 | 形容動詞（な形） | 寛大な処置に感謝します。 | かんだいなしょちにかんしゃします。 | 感謝寬大的處置。
厳格 | げんかく | 嚴格的 | 形容動詞（な形） | 厳格な基準を設けています。 | げんかくなきじゅんをもうけています。 | 設有嚴格的標準。
質実 | しつじつ | 樸實的 | 形容動詞（な形） | 質実な校風で知られています。 | しつじつなこうふうでしられています。 | 以樸實校風聞名。
微細 | びさい | 細微的 | 形容動詞（な形） | 微細な差異を見分けます。 | びさいなさいをみわけます。 | 分辨細微的差異。
寛容 | かんよう | 寬容的 | 形容動詞（な形） | 異なる意見に寛容であるべきです。 | ことなるいけんにかんようであるべきです。 | 應該對不同意見寬容。

# --- 副詞 ---
依然として | いぜんとして | 依然 | 副詞 | 状況は依然として厳しいです。 | じょうきょうはいぜんとしてきびしいです。 | 情況依然嚴峻。
相まって | あいまって | 相互作用 | 副詞 | 好天と相まって人出が増えました。 | こうてんとあいまってひとでがふえました。 | 加上好天氣，人潮增加了。
とりもなおさず | とりもなおさず | 換言之正是 | 副詞 | それはとりもなおさず責任放棄です。 | それはとりもなおさずせきにんほうきです。 | 那正是放棄責任。
ひときわ | ひときわ | 格外 | 副詞 | 今年はひときわ寒く感じます。 | ことしはひときわさむくかんじます。 | 今年感覺格外冷。
おのおの | おのおの | 各自 | 副詞 | おのおのが役割を果たします。 | おのおのがやくわりをはたします。 | 各自盡到職責。
ひとしきり | ひとしきり | 一陣子 | 副詞 | ひとしきり雨が降りました。 | ひとしきりあめがふりました。 | 下了一陣子雨。
いささか | いささか | 稍微、有點 | 副詞 | いささか疑問が残ります。 | いささかぎもんがのこります。 | 稍微留有疑問。
とうに | とうに | 早就 | 副詞 | 締め切りはとうに過ぎています。 | しめきりはとうにすぎています。 | 截止日早就過了。
あくまでも | あくまでも | 終究、始終 | 副詞 | あくまでも個人の意見です。 | あくまでもこじんのいけんです。 | 終究只是個人意見。
むやみに | むやみに | 胡亂地 | 副詞 | むやみに人を疑ってはいけません。 | むやみにひとをうたがってはいけません。 | 不可以胡亂懷疑別人。
やみくもに | やみくもに | 盲目地 | 副詞 | やみくもに始めても続きません。 | やみくもにはじめてもつづきません。 | 盲目開始也持續不了。
つぶさに | つぶさに | 詳細地 | 副詞 | 経緯をつぶさに報告します。 | けいいをつぶさにほうこくします。 | 詳細報告來龍去脈。


# ===== N1 單字補充 第二批：抽象・學術・社會名詞 =====

# --- 思考・論理 ---
論拠 | ろんきょ | 論據 | 名詞 | 論拠を明示してください。 | ろんきょをめいじしてください。 | 請明確指出論據。
命題 | めいだい | 命題 | 名詞 | この命題は証明されていません。 | このめいだいはしょうめいされていません。 | 這個命題尚未被證明。
仮説 | かせつ | 假說 | 名詞 | 仮説を実験で検証します。 | かせつをじっけんでけんしょうします。 | 用實驗驗證假說。
検証 | けんしょう | 驗證 | 名詞 | データの検証が必要です。 | データのけんしょうがひつようです。 | 需要驗證數據。
考察 | こうさつ | 考察 | 名詞 | 結果について考察します。 | けっかについてこうさつします。 | 針對結果進行考察。
洞察 | どうさつ | 洞察 | 名詞 | 鋭い洞察に感心しました。 | するどいどうさつにかんしんしました。 | 佩服他敏銳的洞察。
示唆 | しさ | 啟示、暗示 | 名詞 | 重要な示唆を与えてくれました。 | じゅうようなしさをあたえてくれました。 | 給了我重要的啟示。
帰納 | きのう | 歸納 | 名詞 | 帰納によって法則を導きます。 | きのうによってほうそくをみちびきます。 | 透過歸納導出法則。
演繹 | えんえき | 演繹 | 名詞 | 演繹的に結論を出します。 | えんえきてきにけつろんをだします。 | 用演繹方式得出結論。
概括 | がいかつ | 概括 | 名詞 | 議論を概括して報告します。 | ぎろんをがいかつしてほうこくします。 | 概括討論內容後報告。
抽象 | ちゅうしょう | 抽象 | 名詞 | 抽象と具体を行き来します。 | ちゅうしょうとぐたいをいきします。 | 在抽象與具體間來回。
本末転倒 | ほんまつてんとう | 本末倒置 | 名詞 | それでは本末転倒です。 | それではほんまつてんとうです。 | 那樣就本末倒置了。
前提条件 | ぜんていじょうけん | 前提條件 | 名詞 | 前提条件が崩れました。 | ぜんていじょうけんがくずれました。 | 前提條件不成立了。
整合性 | せいごうせい | 一致性 | 名詞 | 全体の整合性を確認します。 | ぜんたいのせいごうせいをかくにんします。 | 確認整體的一致性。
妥当性 | だとうせい | 妥當性 | 名詞 | 手法の妥当性を検討します。 | しゅほうのだとうせいをけんとうします。 | 檢討方法的妥當性。
必然性 | ひつぜんせい | 必然性 | 名詞 | 変化の必然性を説明します。 | へんかのひつぜんせいをせつめいします。 | 說明變化的必然性。
蓋然性 | がいぜんせい | 蓋然性、可能性 | 名詞 | 蓋然性が高いと判断します。 | がいぜんせいがたかいとはんだんします。 | 判斷可能性很高。

# --- 社会・制度 ---
統治 | とうち | 統治 | 名詞 | 統治の仕組みを学びます。 | とうちのしくみをまなびます。 | 學習統治的機制。
主権 | しゅけん | 主權 | 名詞 | 国家の主権に関わる問題です。 | こっかのしゅけんにかかわるもんだいです。 | 是攸關國家主權的問題。
規範 | きはん | 規範 | 名詞 | 社会規範を守ります。 | しゃかいきはんをまもります。 | 遵守社會規範。
慣例 | かんれい | 慣例 | 名詞 | 慣例に従って進めます。 | かんれいにしたがってすすめます。 | 按慣例進行。
条例 | じょうれい | 條例 | 名詞 | 市の条例で定められています。 | しのじょうれいでさだめられています。 | 由市府條例所規定。
施行 | しこう | 施行 | 名詞 | 来年四月に施行されます。 | らいねんしがつにしこうされます。 | 明年四月施行。
廃止 | はいし | 廢止 | 名詞 | 古い制度が廃止されました。 | ふるいせいどがはいしされました。 | 舊制度被廢止了。
改正 | かいせい | 修正（法規） | 名詞 | 法律が改正されました。 | ほうりつがかいせいされました。 | 法律修正了。
審議 | しんぎ | 審議 | 名詞 | 委員会で審議されています。 | いいんかいでしんぎされています。 | 正在委員會審議。
諮問 | しもん | 諮詢 | 名詞 | 専門家に諮問しました。 | せんもんかにしもんしました。 | 向專家諮詢了。
答申 | とうしん | 答覆（審議結果） | 名詞 | 審議会が答申を出しました。 | しんぎかいがとうしんをだしました。 | 審議會提出了答覆。
是正措置 | ぜせいそち | 糾正措施 | 名詞 | 是正措置を求められました。 | ぜせいそちをもとめられました。 | 被要求採取糾正措施。
特権 | とっけん | 特權 | 名詞 | 一部の人に特権が与えられました。 | いちぶのひとにとっけんがあたえられました。 | 部分人被賦予特權。
格差社会 | かくさしゃかい | 貧富差距社會 | 名詞 | 格差社会が問題視されています。 | かくさしゃかいがもんだいしされています。 | 貧富差距社會被視為問題。
排他的 | はいたてき | 排他的 | 形容動詞（な形） | 排他的な態度は避けるべきです。 | はいたてきなたいどはさけるべきです。 | 應避免排他的態度。
画一的 | かくいつてき | 一致化的、千篇一律的 | 形容動詞（な形） | 画一的な教育に疑問があります。 | かくいつてきなきょういくにぎもんがあります。 | 對千篇一律的教育有疑問。
恣意的 | しいてき | 恣意的 | 形容動詞（な形） | 恣意的な運用は許されません。 | しいてきなうんようはゆるされません。 | 不容許恣意的運用。

# --- 経済・産業 ---
市場原理 | しじょうげんり | 市場原理 | 名詞 | 市場原理に任せます。 | しじょうげんりにまかせます。 | 交由市場原理決定。
需要拡大 | じゅようかくだい | 需求擴大 | 名詞 | 需要拡大が見込まれます。 | じゅようかくだいがみこまれます。 | 預期需求會擴大。
供給過剰 | きょうきゅうかじょう | 供給過剩 | 名詞 | 供給過剰で値崩れしました。 | きょうきゅうかじょうでねくずれしました。 | 因供給過剩而崩盤。
採算 | さいさん | 採算、收支 | 名詞 | 採算が取れません。 | さいさんがとれません。 | 划不來。
収支 | しゅうし | 收支 | 名詞 | 収支のバランスを取ります。 | しゅうしのバランスをとります。 | 取得收支平衡。
資本 | しほん | 資本 | 名詞 | 資本を集めて起業しました。 | しほんをあつめてきぎょうしました。 | 募集資本創業了。
融資 | ゆうし | 融資 | 名詞 | 銀行から融資を受けました。 | ぎんこうからゆうしをうけました。 | 從銀行取得融資。
負債 | ふさい | 負債 | 名詞 | 負債を圧縮しました。 | ふさいをあっしゅくしました。 | 壓縮了負債。
赤字 | あかじ | 赤字、虧損 | 名詞 | 今期は赤字でした。 | こんきはあかじでした。 | 本期虧損。
黒字 | くろじ | 盈餘 | 名詞 | ようやく黒字に転じました。 | ようやくくろじにてんじました。 | 總算轉虧為盈。
補助金 | ほじょきん | 補助金 | 名詞 | 補助金を申請しました。 | ほじょきんをしんせいしました。 | 申請了補助金。
独占 | どくせん | 獨占 | 名詞 | 市場を独占しています。 | しじょうをどくせんしています。 | 獨占著市場。
提携 | ていけい | 合作、結盟 | 名詞 | 海外企業と提携しました。 | かいがいきぎょうとていけいしました。 | 與海外企業結盟。
買収 | ばいしゅう | 收購 | 名詞 | 競合他社を買収しました。 | きょうごうたしゃをばいしゅうしました。 | 收購了競爭對手。
