# JLPT N3 單字   格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯

# --- 名詞 ---
影響 | えいきょう | 影響 | 名詞 | 天気は気分に影響します。 | てんきはきぶんにえいきょうします。 | 天氣會影響心情。
提出する | ていしゅつする | 提交 | 動詞 | 明日までにレポートを提出します。 | あしたまでにレポートをていしゅつします。 | 明天前交報告。
募集する | ぼしゅうする | 招募 | 動詞 | アルバイトを募集しています。 | アルバイトをぼしゅうしています。 | 正在招募工讀生。
応募する | おうぼする | 應徵、報名 | 動詞 | そのコンテストに応募しました。 | そのコンテストにおうぼしました。 | 報名了那個比賽。
採用する | さいようする | 錄用、採用 | 動詞 | 会社は彼を採用しました。 | かいしゃはかれをさいようしました。 | 公司錄用了他。
断る | ことわる | 拒絕、事先說明 | 動詞 | 無理なお願いは断ってもいいです。 | むりなおねがいはことわってもいいです。 | 不合理的請求可以拒絕。
許可する | きょかする | 許可 | 動詞 | 校長が行事を許可しました。 | こうちょうがぎょうじをきょかしました。 | 校長批准了活動。
禁止する | きんしする | 禁止 | 動詞 | この道は駐車が禁止されています。 | このみちはちゅうしゃがきんしされています。 | 這條路禁止停車。
注意する | ちゅういする | 提醒、警告 | 動詞 | 危ないので子供に注意しました。 | あぶないのでこどもにちゅういしました。 | 因為危險所以提醒了小孩。
遠慮なく | えんりょなく | 不客氣地 | 副詞 | 遠慮なく質問してください。 | えんりょなくしつもんしてください。 | 請不用客氣儘管發問。
まとめる | まとめる | 匯整、歸納 | 動詞 | 意見を一つにまとめます。 | いけんをひとつにまとめます。 | 把意見匯整成一個。
分ける | わける | 分開、分配 | 動詞 | お菓子を人数分に分けます。 | おかしをにんずうぶんにわけます。 | 把點心按人數分。
組み立てる | くみたてる | 組裝 | 動詞 | 説明書を見て棚を組み立てます。 | せつめいしょをみてたなをくみたてます。 | 照說明書組裝架子。
取り替える | とりかえる | 更換 | 動詞 | 電池を新しいものに取り替えます。 | でんちをあたらしいものにとりかえます。 | 把電池換成新的。
交換する | こうかんする | 交換 | 動詞 | 不良品を交換してもらいました。 | ふりょうひんをこうかんしてもらいました。 | 把瑕疵品換掉了。
移動する | いどうする | 移動 | 動詞 | 会議室に移動しましょう。 | かいぎしつにいどうしましょう。 | 移動到會議室吧。
移す | うつす | 移動、挪 | 動詞 | 荷物を隣の部屋に移しました。 | にもつをとなりのへやにうつしました。 | 把行李挪到隔壁房間。
並ぶ | ならぶ | 排隊、並排 | 動詞 | 人気の店には長い列が並んでいます。 | にんきのみせにはながいれつがならんでいます。 | 人氣店家排著長長的隊。
並べる | ならべる | 排列、擺放 | 動詞 | テーブルに料理を並べます。 | テーブルにりょうりをならべます。 | 把菜擺到桌上。
混ぜる | まぜる | 攪拌、混合 | 動詞 | 卵と砂糖をよく混ぜます。 | たまごとさとうをよくまぜます。 | 把蛋和糖攪拌均勻。
温める | あたためる | 加熱、溫熱 | 動詞 | スープを温めて出します。 | スープをあたためてだします。 | 把湯加熱後端出。
冷やす | ひやす | 冰鎮、使冷卻 | 動詞 | 飲み物を冷蔵庫で冷やします。 | のみものをれいぞうこでひやします。 | 把飲料放冰箱冰。
凍る | こおる | 結冰 | 動詞 | 池の水が凍っています。 | いけのみずがこおっています。 | 池水結冰了。
溶ける | とける | 融化 | 動詞 | アイスがすぐに溶けます。 | アイスがすぐにとけます。 | 冰淇淋馬上就融了。
燃える | もえる | 燃燒 | 動詞 | 落ち葉がよく燃えます。 | おちばがよくもえます。 | 落葉很好燒。
爆発する | ばくはつする | 爆炸 | 動詞 | ガスが爆発する危険があります。 | ガスがばくはつするきけんがあります。 | 有瓦斯爆炸的危險。
発生する | はっせいする | 發生 | 動詞 | 事故が発生したら、すぐ知らせてください。 | じこがはっせいしたら、すぐしらせてください。 | 一發生事故就馬上通知。
起こる | おこる | 發生 | 動詞 | 何が起こったのか分かりません。 | なにがおこったのかわかりません。 | 不知道發生了什麼事。
続く | つづく | 持續、接連 | 動詞 | 雨の日が続いています。 | あめのひがつづいています。 | 雨天一直持續。
止む | やむ | 停（雨、風） | 動詞 | 夕方には雨が止むでしょう。 | ゆうがたにはあめがやむでしょう。 | 傍晚雨會停吧。
進む | すすむ | 前進、進展 | 動詞 | 工事は順調に進んでいます。 | こうじはじゅんちょうにすすんでいます。 | 工程進展順利。
遅れを取り戻す | おくれをとりもどす | 追回落後的進度 | 動詞 | 残業して遅れを取り戻します。 | ざんぎょうしておくれをとりもどします。 | 加班把落後的進度追回。
戻す | もどす | 恢復、放回 | 動詞 | 設定を元に戻します。 | せっていをもとにもどします。 | 把設定恢復原狀。
繰り返す | くりかえす | 反覆 | 動詞 | 同じミスを繰り返さないように気をつけます。 | おなじミスをくりかえさないようにきをつけます。 | 小心不要重複同樣的錯誤。
慣れる | なれる | 習慣 | 動詞 | 夜勤の生活にもだいぶ慣れました。 | やきんのせいかつにもだいぶなれました。 | 也相當習慣夜班生活了。

# --- 形容詞・形容動詞 ---
親しい | したしい | 親近的 | 形容詞（い形） | 彼とは親しい友人です。 | かれとはしたしいゆうじんです。 | 我和他是很親近的朋友。
くわしい | くわしい | 詳細的、熟悉的 | 形容詞（い形） | 彼はパソコンにくわしいです。 | かれはパソコンにくわしいです。 | 他對電腦很在行。
だらしない | だらしない | 邋遢的、散漫的 | 形容詞（い形） | お金にだらしない人は信用できません。 | おかねにだらしないひとはしんようできません。 | 用錢散漫的人不能信任。
ずうずうしい | ずうずうしい | 厚臉皮的 | 形容詞（い形） | 順番を抜かすなんてずうずうしいです。 | じゅんばんをぬかすなんてずうずうしいです。 | 竟然插隊，真厚臉皮。
落ち着く | おちつく | 冷靜、安定 | 動詞 | 深呼吸して落ち着きました。 | しんこきゅうしておちつきました。 | 深呼吸後冷靜下來。
まぶしい | まぶしい | 刺眼的 | 形容詞（い形） | 朝日がまぶしいです。 | あさひがまぶしいです。 | 朝陽很刺眼。
かたい | かたい | 生硬的、死板的 | 形容詞（い形） | 彼の考え方はかたいです。 | かれのかんがえかたはかたいです。 | 他的想法很死板。
豊富 | ほうふ | 豐富 | 形容動詞（な形） | 彼は経験が豊富です。 | かれはけいけんがほうふです。 | 他經驗豐富。
順調 | じゅんちょう | 順利 | 形容動詞（な形） | 準備は順調に進んでいます。 | じゅんびはじゅんちょうにすすんでいます。 | 準備進行順利。
新鮮 | しんせん | 新鮮 | 形容動詞（な形） | この魚はとても新鮮です。 | このさかなはとてもしんせんです。 | 這條魚非常新鮮。
中心的 | ちゅうしんてき | 核心的 | 形容動詞（な形） | 彼はチームの中心的な存在です。 | かれはチームのちゅうしんてきなそんざいです。 | 他是隊上的核心人物。
積極的 | せっきょくてき | 積極的 | 形容動詞（な形） | 会議で積極的に発言します。 | かいぎでせっきょくてきにはつげんします。 | 在會議上積極發言。
消極的 | しょうきょくてき | 消極的 | 形容動詞（な形） | 彼は新しいことに消極的です。 | かれはあたらしいことにしょうきょくてきです。 | 他對新事物很消極。
一般的 | いっぱんてき | 一般的、普遍的 | 形容動詞（な形） | それは一般的な考え方です。 | それはいっぱんてきなかんがえかたです。 | 那是普遍的想法。
具体的 | ぐたいてき | 具體的 | 形容動詞（な形） | 具体的な例を挙げて説明します。 | ぐたいてきなれいをあげてせつめいします。 | 舉具體的例子說明。
基本的 | きほんてき | 基本的 | 形容動詞（な形） | 基本的なルールを守ってください。 | きほんてきなルールをまもってください。 | 請遵守基本規則。
苦しい | くるしい | 痛苦的、艱難的 | 形容詞（い形） | 生活が苦しくても諦めません。 | せいかつがくるしくてもあきらめません。 | 生活再艱難也不放棄。

# --- 副詞 ---
そのうえ | そのうえ | 而且、再加上 | 接續詞 | 安いです。そのうえ、味もいいです。 | やすいです。そのうえ、あじもいいです。 | 便宜，而且味道也好。
一方で | いっぽうで | 另一方面 | 副詞 | 便利になった一方で、問題も増えました。 | べんりになったいっぽうで、もんだいもふえました。 | 變方便的另一方面，問題也增加了。
そのため | そのため | 因此 | 接續詞 | 電車が遅れた。そのため会議に遅刻した。 | でんしゃがおくれた。そのためかいぎにちこくした。 | 電車誤點，因此開會遲到。
つまり | つまり | 也就是說 | 接續詞 | 締め切りは今日、つまりあと数時間です。 | しめきりはきょう、つまりあとすうじかんです。 | 截止是今天，也就是只剩幾小時。
実は | じつは | 其實 | 副詞 | 実は前から気になっていました。 | じつはまえからきになっていました。 | 其實我從以前就很在意。
どうやら | どうやら | 看來、似乎 | 副詞 | どうやら道を間違えたようです。 | どうやらみちをまちがえたようです。 | 看來是走錯路了。
少なくとも | すくなくとも | 至少 | 副詞 | 少なくとも一時間はかかります。 | すくなくともいちじかんはかかります。 | 至少要花一小時。
たとえ | たとえ | 即使 | 副詞 | たとえ失敗しても、経験になります。 | たとえしっぱいしても、けいけんになります。 | 即使失敗，也是經驗。
まさか | まさか | 難道、不會吧 | 副詞 | まさか彼が来るとは思いませんでした。 | まさかかれがくるとはおもいませんでした。 | 沒想到他竟然會來。
今にも | いまにも | 眼看就要 | 副詞 | 空が暗くて、今にも雨が降りそうです。 | そらがくらくて、いまにもあめがふりそうです。 | 天很暗，眼看就要下雨。
思い切り | おもいきり | 盡情地 | 副詞 | 休みの日は思い切り遊びます。 | やすみのひはおもいきりあそびます。 | 假日盡情地玩。
わざと | わざと | 故意 | 副詞 | 彼はわざと負けたようです。 | かれはわざとまけたようです。 | 他好像是故意輸的。
わざわざ | わざわざ | 特地 | 副詞 | わざわざ来てくれてありがとう。 | わざわざきてくれてありがとう。 | 謝謝你特地過來。
せっかく | せっかく | 難得、特意 | 副詞 | せっかくの休みが雨で台無しです。 | せっかくのやすみがあめでだいなしです。 | 難得的假期被雨毀了。


# ===== N3 高頻補充（依舊制 2 級初階／N3 常見詞表）第一批 =====

# --- 仕事・職場 ---
職場 | しょくば | 職場 | 名詞 | 職場の雰囲気はとてもいいです。 | しょくばのふんいきはとてもいいです。 | 職場的氣氛非常好。
勤務 | きんむ | 上班；勤務 | 名詞 | 勤務時間は九時から六時までです。 | きんむじかんはくじからろくじまでです。 | 上班時間是九點到六點。
通勤 | つうきん | 通勤 | 名詞 | 毎日、電車で通勤しています。 | まいにち、でんしゃでつうきんしています。 | 每天搭電車通勤。
休憩 | きゅうけい | 休息 | 名詞 | 一時間ごとに休憩を取ります。 | いちじかんごとにきゅうけいをとります。 | 每一小時休息一次。
出張 | しゅっちょう | 出差 | 名詞 | 来週、東京へ出張します。 | らいしゅう、とうきょうへしゅっちょうします。 | 下週去東京出差。
打ち合わせ | うちあわせ | 事前討論 | 名詞 | 午後、取引先と打ち合わせがあります。 | ごご、とりひきさきとうちあわせがあります。 | 下午和客戶有會議。
取引先 | とりひきさき | 客戶；往來廠商 | 名詞 | 取引先に資料を送りました。 | とりひきさきにしりょうをおくりました。 | 把資料寄給了客戶。
上司 | じょうし | 上司 | 名詞 | 上司に報告してから決めます。 | じょうしにほうこくしてからきめます。 | 向上司報告後再決定。
部下 | ぶか | 部下 | 名詞 | 部下の意見もよく聞きます。 | ぶかのいけんもよくききます。 | 也仔細聽取部下的意見。
先輩 | せんぱい | 前輩；學長姐 | 名詞 | 会社の先輩に仕事を教わりました。 | かいしゃのせんぱいにしごとをおそわりました。 | 向公司前輩學了工作。
後輩 | こうはい | 後輩；學弟妹 | 名詞 | 後輩の相談に乗ります。 | こうはいのそうだんにのります。 | 給後輩諮詢。
研修 | けんしゅう | 培訓；研習 | 名詞 | 新入社員の研修が始まりました。 | しんにゅうしゃいんのけんしゅうがはじまりました。 | 新進員工的培訓開始了。
面接 | めんせつ | 面試 | 名詞 | 明日、会社の面接を受けます。 | あした、かいしゃのめんせつをうけます。 | 明天要參加公司的面試。
履歴書 | りれきしょ | 履歷表 | 名詞 | 履歴書に写真を貼ります。 | りれきしょにしゃしんをはります。 | 在履歷表上貼照片。
職業 | しょくぎょう | 職業 | 名詞 | ご職業は何ですか。 | ごしょくぎょうはなんですか。 | 請問您的職業是？
資格 | しかく | 資格；證照 | 名詞 | この仕事には資格が必要です。 | このしごとにはしかくがひつようです。 | 這份工作需要證照。
予算 | よさん | 預算 | 名詞 | 今回の予算は十万円です。 | こんかいのよさんはじゅうまんえんです。 | 這次的預算是十萬日圓。
経費 | けいひ | 經費；開銷 | 名詞 | 交通費は経費で落とせます。 | こうつうひはけいひでおとせます。 | 交通費可以報公帳。
売上 | うりあげ | 營業額 | 名詞 | 今月の売上は先月より増えました。 | こんげつのうりあげはせんげつよりふえました。 | 這個月的營業額比上個月增加了。

# --- 学校・学習 ---
学期 | がっき | 學期 | 名詞 | 新しい学期が始まりました。 | あたらしいがっきがはじまりました。 | 新學期開始了。
単位 | たんい | 學分 | 名詞 | 卒業に必要な単位を取りました。 | そつぎょうにひつようなたんいをとりました。 | 修完了畢業所需的學分。
学費 | がくひ | 學費 | 名詞 | アルバイトで学費を払っています。 | アルバイトでがくひをはらっています。 | 靠打工付學費。
奨学金 | しょうがくきん | 獎學金 | 名詞 | 奨学金をもらって留学します。 | しょうがくきんをもらってりゅうがくします。 | 拿獎學金去留學。
入試 | にゅうし | 入學考試 | 名詞 | 大学の入試は二月にあります。 | だいがくのにゅうしはにがつにあります。 | 大學入學考在二月。
解答 | かいとう | 解答 | 名詞 | 試験の後、解答を確認します。 | しけんのあと、かいとうをかくにんします。 | 考試後對答案。
提出 | ていしゅつ | 提交 | 名詞 | レポートの提出は金曜日までです。 | レポートのていしゅつはきんようびまでです。 | 報告要在星期五前交。
成績表 | せいせきひょう | 成績單 | 名詞 | 成績表を親に見せます。 | せいせきひょうをおやにみせます。 | 把成績單給父母看。
進路 | しんろ | 出路；升學就業方向 | 名詞 | 先生と進路について相談しました。 | せんせいとしんろについてそうだんしました。 | 和老師談了升學就業方向。
基礎 | きそ | 基礎 | 名詞 | まず基礎をしっかり勉強します。 | まずきそをしっかりべんきょうします。 | 先把基礎打好。
応用 | おうよう | 應用 | 名詞 | 基礎ができたら応用に進みます。 | きそができたらおうようにすすみます。 | 基礎會了就進入應用。
例文 | れいぶん | 例句 | 名詞 | 新しい文法の例文を作ります。 | あたらしいぶんぽうのれいぶんをつくります。 | 造新文法的例句。
講師 | こうし | 講師 | 名詞 | 外国人の講師に会話を習います。 | がいこくじんのこうしにかいわをならいます。 | 向外籍講師學會話。

# --- 住まい・生活 ---
廊下 | ろうか | 走廊 | 名詞 | 廊下を走ってはいけません。 | ろうかをはしってはいけません。 | 不可以在走廊上奔跑。
地下 | ちか | 地下 | 名詞 | 食品売り場は地下一階です。 | しょくひんうりばはちかいっかいです。 | 食品賣場在地下一樓。
屋上 | おくじょう | 屋頂平台 | 名詞 | 屋上から町がよく見えます。 | おくじょうからまちがよくみえます。 | 從屋頂平台可以清楚看到市區。
家事 | かじ | 家務 | 名詞 | 家事は家族で分担しています。 | かじはかぞくでぶんたんしています。 | 家務由家人分擔。
洗濯物 | せんたくもの | 待洗／已洗的衣物 | 名詞 | 晴れたので洗濯物を外に干します。 | はれたのでせんたくものをそとにほします。 | 天晴了把衣服晾外面。
大家 | おおや | 房東 | 名詞 | 大家さんに修理を頼みました。 | おおやさんにしゅうりをたのみました。 | 拜託房東修理。
引っ越し | ひっこし | 搬家 | 名詞 | 来月、引っ越しをします。 | らいげつ、ひっこしをします。 | 下個月要搬家。
近所付き合い | きんじょづきあい | 鄰里往來 | 名詞 | 田舎は近所付き合いが多いです。 | いなかはきんじょづきあいがおおいです。 | 鄉下鄰里往來很多。
中身 | なかみ | 內容物 | 名詞 | 箱の中身は本でした。 | はこのなかみはほんでした。 | 箱子裡裝的是書。
端 | はし | 邊緣；末端 | 名詞 | ノートの端にメモします。 | ノートのはしにメモします。 | 在筆記本邊緣做筆記。
隙間 | すきま | 縫隙 | 名詞 | ドアの隙間から風が入ります。 | ドアのすきまからかぜがはいります。 | 風從門縫吹進來。
列 | れつ | 隊伍；列 | 名詞 | 切符売り場に長い列ができています。 | きっぷうりばにながいれつができています。 | 售票處排了長長的隊伍。

# --- 気持ち・性質 ---
機嫌 | きげん | 心情；情緒 | 名詞 | 父は今日、機嫌がいいです。 | ちちはきょう、きげんがいいです。 | 爸爸今天心情很好。
感想 | かんそう | 感想 | 名詞 | 映画の感想を聞かせてください。 | えいがのかんそうをきかせてください。 | 說說你對電影的感想。
決心 | けっしん | 決心 | 名詞 | 留学する決心をしました。 | りゅうがくするけっしんをしました。 | 下定決心要留學。
反省 | はんせい | 反省 | 名詞 | 失敗を反省して次に生かします。 | しっぱいをはんせいしてつぎにいかします。 | 反省失敗並運用在下次。
尊敬 | そんけい | 尊敬 | 名詞 | 私は祖父を尊敬しています。 | わたしはそふをそんけいしています。 | 我很尊敬我的祖父。
同情 | どうじょう | 同情 | 名詞 | 彼の話に同情しました。 | かれのはなしにどうじょうしました。 | 對他的遭遇感到同情。
思いやり | おもいやり | 體貼 | 名詞 | 彼女は思いやりのある人です。 | かのじょはおもいやりのあるひとです。 | 她是個體貼的人。
我慢強い | がまんづよい | 有耐性的 | 形容詞（い形） | 弟は我慢強い性格です。 | おとうとはがまんづよいせいかくです。 | 弟弟個性很有耐性。
気楽 | きらく | 輕鬆自在的 | 形容動詞（な形） | 一人の時間は気楽です。 | ひとりのじかんはきらくです。 | 一個人的時間很自在。
短気 | たんき | 性急的 | 形容動詞（な形） | 短気を起こさないでください。 | たんきをおこさないでください。 | 請別發脾氣。
真剣 | しんけん | 認真的 | 形容動詞（な形） | 真剣に将来を考えています。 | しんけんにしょうらいをかんがえています。 | 認真思考未來。
のんびり | のんびり | 悠閒地 | 副詞 | 休みの日は家でのんびりします。 | やすみのひはいえでのんびりします。 | 假日在家悠閒度過。

# --- 体・健康 ---
体調 | たいちょう | 身體狀況 | 名詞 | 今日は体調が悪いので休みます。 | きょうはたいちょうがわるいのでやすみます。 | 今天身體不舒服所以請假。
診察 | しんさつ | 看診 | 名詞 | 午前中に診察を受けました。 | ごぜんちゅうにしんさつをうけました。 | 上午看了診。
栄養 | えいよう | 營養 | 名詞 | 野菜には栄養がたくさんあります。 | やさいにはえいようがたくさんあります。 | 蔬菜富含營養。
睡眠 | すいみん | 睡眠 | 名詞 | 睡眠が足りないと集中できません。 | すいみんがたりないとしゅうちゅうできません。 | 睡眠不足就無法集中。
食欲 | しょくよく | 食慾 | 名詞 | 夏は食欲がなくなります。 | なつはしょくよくがなくなります。 | 夏天沒有食慾。
体温 | たいおん | 體溫 | 名詞 | 朝、体温を測りました。 | あさ、たいおんをはかりました。 | 早上量了體溫。
呼吸 | こきゅう | 呼吸 | 名詞 | 深く呼吸すると落ち着きます。 | ふかくこきゅうするとおちつきます。 | 深呼吸就會冷靜下來。
頭痛 | ずつう | 頭痛 | 名詞 | ひどい頭痛で薬を飲みました。 | ひどいずつうでくすりをのみました。 | 頭很痛所以吃了藥。
腰痛 | ようつう | 腰痛 | 名詞 | 長時間座ると腰痛になります。 | ちょうじかんすわるとようつうになります。 | 久坐會腰痛。
疲労 | ひろう | 疲勞 | 名詞 | 疲労がたまっています。 | ひろうがたまっています。 | 累積了不少疲勞。

# --- 交通・移動 ---
交通機関 | こうつうきかん | 交通工具 | 名詞 | この町は交通機関が発達しています。 | このまちはこうつうきかんがはったつしています。 | 這個城市交通發達。
定期券 | ていきけん | 定期票 | 名詞 | 通学に定期券を使います。 | つうがくにていきけんをつかいます。 | 上學用定期票。
乗客 | じょうきゃく | 乘客 | 名詞 | 朝の電車は乗客でいっぱいです。 | あさのでんしゃはじょうきゃくでいっぱいです。 | 早上的電車擠滿了乘客。
通行 | つうこう | 通行 | 名詞 | 工事のため、この道は通行止めです。 | こうじのため、このみちはつうこうどめです。 | 因施工，這條路禁止通行。
到着 | とうちゃく | 抵達 | 名詞 | 電車の到着が五分遅れました。 | でんしゃのとうちゃくがごふんおくれました。 | 電車晚到了五分鐘。
出発 | しゅっぱつ | 出發 | 名詞 | バスの出発は八時ちょうどです。 | バスのしゅっぱつははちじちょうどです。 | 公車八點整出發。
横断歩道 | おうだんほどう | 斑馬線 | 名詞 | 横断歩道を渡って向こう側へ行きます。 | おうだんほどうをわたってむこうがわへいきます。 | 走斑馬線到對面。
歩道 | ほどう | 人行道 | 名詞 | 自転車は歩道を走らないでください。 | じてんしゃはほどうをはしらないでください。 | 腳踏車請勿騎人行道。
車道 | しゃどう | 車道 | 名詞 | ボールが車道に転がっていきました。 | ボールがしゃどうにころがっていきました。 | 球滾到車道上了。
迷子 | まいご | 迷路的孩子 | 名詞 | デパートで迷子になりました。 | デパートでまいごになりました。 | 在百貨公司走失了。

# --- 経済・買い物 ---
値上がり | ねあがり | 漲價 | 名詞 | ガソリンの値上がりが続いています。 | ガソリンのねあがりがつづいています。 | 汽油持續漲價。
消費 | しょうひ | 消費 | 名詞 | 若い人の消費が減っています。 | わかいひとのしょうひがへっています。 | 年輕人的消費在減少。
生産 | せいさん | 生產 | 名詞 | この工場は車を生産しています。 | このこうじょうはくるまをせいさんしています。 | 這家工廠生產汽車。
在庫 | ざいこ | 庫存 | 名詞 | 申し訳ありませんが、在庫がありません。 | もうしわけありませんが、ざいこがありません。 | 抱歉，沒有庫存了。
注文 | ちゅうもん | 訂購 | 名詞 | インターネットで本を注文しました。 | インターネットでほんをちゅうもんしました。 | 在網路上訂了書。
配達 | はいたつ | 配送 | 名詞 | 荷物は明日配達されます。 | にもつはあしたはいたつされます。 | 包裹明天送達。
返品 | へんぴん | 退貨 | 名詞 | サイズが合わないので返品します。 | サイズがあわないのでへんぴんします。 | 尺寸不合所以退貨。
領収書 | りょうしゅうしょ | 收據 | 名詞 | 領収書をもらえますか。 | りょうしゅうしょをもらえますか。 | 可以給我收據嗎？
支払い | しはらい | 付款 | 名詞 | 支払いはカードでお願いします。 | しはらいはカードでおねがいします。 | 我要刷卡付款。

# --- 動詞（和語）---
扱う | あつかう | 處理；對待 | 動詞 | この店では電気製品を扱っています。 | このみせではでんきせいひんをあつかっています。 | 這家店有賣電器產品。
済む | すむ | 結束；解決 | 動詞 | 用事が済んだら電話します。 | ようじがすんだらでんわします。 | 事情辦完就打電話。
済ませる | すませる | 辦完；解決掉 | 動詞 | 昼ご飯はパンで済ませました。 | ひるごはんはパンですませました。 | 午餐吃麵包解決了。
こぼす | こぼす | 灑出；抱怨 | 動詞 | テーブルにコーヒーをこぼしました。 | テーブルにコーヒーをこぼしました。 | 把咖啡灑在桌上了。
こぼれる | こぼれる | 溢出 | 動詞 | コップの水がこぼれました。 | コップのみずがこぼれました。 | 杯子的水灑出來了。
あふれる | あふれる | 溢出；充滿 | 動詞 | 雨で川の水があふれました。 | あめでかわのみずがあふれました。 | 因下雨河水氾濫了。
漏れる | もれる | 漏出；洩漏 | 動詞 | ガスが漏れているようです。 | ガスがもれているようです。 | 好像在漏瓦斯。
絞る | しぼる | 擰；榨 | 動詞 | タオルをよく絞ってください。 | タオルをよくしぼってください。 | 請把毛巾擰乾。
片寄る | かたよる | 偏向；不均衡 | 動詞 | 荷物が片寄って重いです。 | にもつがかたよっておもいです。 | 行李偏一邊很重。
転がる | ころがる | 滾動 | 動詞 | ボールが坂を転がっていきました。 | ボールがさかをころがっていきました。 | 球滾下坡去了。
ずれる | ずれる | 錯開；偏移 | 動詞 | 時計が五分ずれています。 | とけいがごふんずれています。 | 時鐘差了五分鐘。
外れる | はずれる | 脫落；沒中 | 動詞 | ボタンが外れました。 | ボタンがはずれました。 | 鈕扣掉了。
詰まる | つまる | 堵塞；塞滿 | 動詞 | 鼻が詰まって苦しいです。 | はながつまってくるしいです。 | 鼻塞很難受。
緩む | ゆるむ | 鬆弛 | 動詞 | ねじが緩んでいます。 | ねじがゆるんでいます。 | 螺絲鬆了。
縮む | ちぢむ | 縮小；縮水 | 動詞 | セーターが洗濯で縮みました。 | セーターがせんたくでちぢみました。 | 毛衣洗過後縮水了。
膨らむ | ふくらむ | 膨脹；鼓起 | 動詞 | パンがオーブンで膨らみました。 | パンがオーブンでふくらみました。 | 麵包在烤箱裡膨脹了。
腐る | くさる | 腐爛 | 動詞 | 暑くて牛乳が腐りました。 | あつくてぎゅうにゅうがくさりました。 | 天熱牛奶壞了。
沈む | しずむ | 下沉 | 動詞 | 夕日が海に沈みます。 | ゆうひがうみにしずみます。 | 夕陽沉入海裡。
浮かぶ | うかぶ | 浮起；浮現 | 動詞 | いい考えが浮かびました。 | いいかんがえがうかびました。 | 想到了好主意。
配る | くばる | 分發 | 動詞 | 資料を全員に配ります。 | しりょうをぜんいんにくばります。 | 把資料發給所有人。
拾い上げる | ひろいあげる | 撿起 | 動詞 | 落ちた紙を拾い上げました。 | おちたかみをひろいあげました。 | 把掉下的紙撿起來。
話しかける | はなしかける | 攀談 | 動詞 | 隣の人に道を話しかけられました。 | となりのひとにみちをはなしかけられました。 | 旁邊的人向我問路。
励ます | はげます | 鼓勵 | 動詞 | 落ち込んだ友達を励ましました。 | おちこんだともだちをはげましました。 | 鼓勵了沮喪的朋友。
慰める | なぐさめる | 安慰 | 動詞 | 泣いている子を慰めます。 | ないているこをなぐさめます。 | 安慰哭泣的孩子。
疑う | うたがう | 懷疑 | 動詞 | 彼の話を少し疑っています。 | かれのはなしをすこしうたがっています。 | 對他的話有點懷疑。
騙す | だます | 欺騙 | 動詞 | 知らない人にお金を騙されました。 | しらないひとにおかねをだまされました。 | 被陌生人騙了錢。
威張る | いばる | 擺架子 | 動詞 | あの人は部下に威張ります。 | あのひとはぶかにいばります。 | 那個人對部下擺架子。
いじめる | いじめる | 欺負 | 動詞 | 弱い者をいじめてはいけません。 | よわいものをいじめてはいけません。 | 不可以欺負弱小。
からかう | からかう | 捉弄 | 動詞 | 友達をからかって怒られました。 | ともだちをからかっておこられました。 | 捉弄朋友被罵了。
甘やかす | あまやかす | 溺愛 | 動詞 | 子供を甘やかしすぎないほうがいいです。 | こどもをあまやかしすぎないほうがいいです。 | 最好別太溺愛孩子。


# ===== N3 高頻補充 第二批 =====

# --- 名詞（抽象・尺度）---
要点 | ようてん | 要點 | 名詞 | 話の要点をメモしました。 | はなしのようてんをメモしました。 | 把談話的要點記了下來。
概要 | がいよう | 概要 | 名詞 | 計画の概要を説明します。 | けいかくのがいようをせつめいします。 | 說明計畫的概要。
段階 | だんかい | 階段；步驟 | 名詞 | 工事は最後の段階に入りました。 | こうじはさいごのだんかいにはいりました。 | 工程進入最後階段。
過程 | かてい | 過程 | 名詞 | 結果より過程が大切です。 | けっかよりかていがたいせつです。 | 過程比結果重要。
手順 | てじゅん | 步驟；程序 | 名詞 | 作業の手順を確認します。 | さぎょうのてじゅんをかくにんします。 | 確認作業的步驟。
形式 | けいしき | 形式 | 名詞 | 申し込みは決まった形式で書きます。 | もうしこみはきまったけいしきでかきます。 | 申請要用固定格式填寫。
面積 | めんせき | 面積 | 名詞 | この部屋の面積は二十平方メートルです。 | このへやのめんせきはにじゅうへいほうメートルです。 | 這個房間面積二十平方公尺。
幅 | はば | 寬度 | 名詞 | この道は幅が狭いです。 | このみちははばがせまいです。 | 這條路很窄。
深さ | ふかさ | 深度 | 名詞 | プールの深さは一メートルです。 | プールのふかさはいちメートルです。 | 游泳池的深度是一公尺。
高さ | たかさ | 高度 | 名詞 | この山の高さは三千メートルです。 | このやまのたかさはさんぜんメートルです。 | 這座山高三千公尺。
厚さ | あつさ | 厚度 | 名詞 | この本は厚さが五センチあります。 | このほんはあつさがごセンチあります。 | 這本書有五公分厚。
重さ | おもさ | 重量 | 名詞 | 荷物の重さを量ります。 | にもつのおもさをはかります。 | 秤行李的重量。
個人 | こじん | 個人 | 名詞 | これは個人の意見です。 | これはこじんのいけんです。 | 這是個人的意見。
集団 | しゅうだん | 團體 | 名詞 | 集団で行動します。 | しゅうだんでこうどうします。 | 以團體行動。
